company_code,employee_name,employee_role
cbre,Leah C. Stearns,Chief Financial Officer
cbre,Daniel G. Queenan,Global Chief Executive Officer of Advisory Services
cbre,John E. Durburg,Global Chief Executive Officer of Global Workplace Solutions
cbre,Michael J. Lafitte,Global Chief Executive Officer of Real Estate Investments and Chief Executive Officer of Trammell Crow Company
cbre,J. Christopher Kirk,Global Chief Operating Officer and Global Chief Operating Officer of Advisory Services
cbre,Emma E. Giamartino,Global Chief Investment Officer
cbre,Vikram Kohli,Senior Vice President of Business Insight and Corporate Finance
cbre,David Eisenberg,Senior Vice President of Digital Enablement and Technology
cbre,Chandra Dhandapani,Chief Administrative Officer
cdw,Christine A. Leahy,"President, Chief Executive Officer and Director"
cdw,Collin B. Kebo,Senior Vice President and Chief Financial Officer
cdw,Christina M. Corley,Chief Commercial and Operating Officer
cdw,Mark C. Chong,Senior Vice President of Strategy and Marketing
cdw,Elizabeth H. Connelly,Chief Human Resources Officer and Senior Vice President of Coworker Services
cdw,Douglas E. Eckrote,Senior Vice President of Small Business Sales and eCommerce
cdw,Sona Chawla,Chief Growth and Innovation Officer
cdw,Ilaria Mocciaro,"Vice President, Controller and Chief Accounting Officer"
cdw,Dr. Sanjay Sood,Chief Technology Officer and Senior Vice President
cdw,Beth Coronelli,Vice President of Investor Relations
ce,Lori J. Ryerkerk,"Chairman, President and Chief Executive Officer"
ce,Scott A. Richardson,Executive Vice President and Chief Financial Officer
ce,A. Lynne Puckett,"Senior Vice President, General Counsel and Corporate Secretary"
ce,Thomas Francis Kelly,Senior Vice President of Engineered Materials
ce,Benita M. Casey,"Chief Accounting Officer, Vice President of Finance and Controller"
ce,Verghese Thomas,Vice President and Chief Technology and Innovation Officer
ce,Sameer Purao,Vice President and Chief Information Officer
ce,Vanessa Dupuis,Senior Vice President and Chief Human Resources Officer
ce,Jon Mortimer,Senior Vice President of Global Manufacturing
ce,John G. Fotheringham,Senior Vice President of Acetyls
cnc,Michael Frederic Neidorff,"Chairman, President and Chief Executive Officer"
cnc,"Jeffrey Alan Schwaneke CPA, CPA","Executive Vice President, Chief Financial Officer and Treasurer"
cnc,Brandy Lynn Burkhalter,Executive Vice President and Chief Operating Officer
cnc,Mark J. Brooks,Executive Vice President and Chief Information Officer
cnc,Jesse N. Hunter,Executive Vice President of Mergers and Acquisitions and Chief Strategy Officer
cnc,Kenneth Alan Burdick,Consultant
cnc,"Christopher Russell Isaak B.B.A., CPA",Chief Accounting Officer
cnc,Shannon Bagley,Executive Vice President and Chief Administrative Officer
cnc,Jennifer Lynch Gilligan,Senior Vice President of Investor Relations
cnc,Christopher Andrew Koster,"Senior Vice President, General Counsel and Secretary"
cnp,Milton Carroll,Executive Chairman
cnp,David John Lesar CPA,"President, Chief Executive Officer and Director"
cnp,Jason P. Wells,Executive Vice President and Chief Financial Officer
cnp,Kristie L. Colvin,Senior Vice President and Chief Accounting Officer
cnp,Scott Edward Doyle,Executive Vice President of Natural Gas
cnp,Gregory E. Knight,Executive Vice President of Customer Transformation and Business Services
cnp,Kenneth E. Coleman,Senior Vice President and Chief Information Officer
cnp,Philip Holder,Senior Vice President of Strategic Planning and Investor Relations
cnp,Carol R. Helliker,"Chief Ethics and Compliance Officer, Senior Vice President and Deputy General Counsel"
cnp,Monica Karuturi,Senior Vice President and General Counsel
cern,David Brent Shafer,Chairman and Chief Executive Officer
cern,Donald D. Trigg,President
cern,Marc G. Naughton,Executive Advisor
cern,Michael Robin,Partner and Vice President
cern,Mark J. Erceg,Executive Vice President and Chief Financial Officer
cern,Michael R. Battaglioli,Vice President and Chief Accounting Officer
cern,Jerome Labat,Executive Vice President and Chief Technology Officer
cern,William E. Graff,Senior Vice President and Chief Information Officer
cern,Allan Kells,"Vice President, Investor Relations"
cern,Daniel P. Devers,"Executive Vice President, Chief Legal Officer and Secretary"
cf,W. Anthony Will,"President, Chief Executive Officer and Director"
cf,Christopher D. Bohn,Senior Vice President and Chief Financial Officer
cf,Douglas C. Barnard,"Senior Vice President, General Counsel and Secretary"
cf,Bert A. Frost,"Senior Vice President of Sales, Market Development and Supply Chain"
cf,Susan L. Menzel,Senior Vice President of Human Resources
cf,Julie Scheck Freigang,Vice President and Chief Information Officer
cf,Martin A. Jarosick C.F.A.,Vice President of Investor Relations
cf,Michael P. McGrane,"Chief Compliance Officer, Vice President and Assistant Secretary"
cf,Linda M. Dempsey,Vice President of Public Affairs
cf,Ashraf K. Malik,Senior Vice President of Manufacturing and Distribution
schw,Walter William Bettinger II,"President, Chief Executive Officer and Director"
schw,Peter Brooks Crawford,Executive Vice President and Chief Financial Officer
schw,"Joseph Raymond Martinetto B.A., M.B.A.",Senior Executive Vice President and Chief Operating Officer
schw,Jonathan M. Craig,Senior Executive Vice President
schw,Tim Heier,Executive Vice President and Chief Technology Officer
schw,Dennis Howard,Executive Vice President and Chief Information Officer
schw,Richard G. Fowler,Senior Vice President of Investor Relations
schw,Peter J. Morgan III,"Executive Vice President, General Counsel and Corporate Secretary"
schw,Joe Carberry,Senior Vice President of Corporate Communications
schw,Catherine Casey,Executive Vice President of Human Resources
chtr,Thomas M. Rutledge,Chairman and Chief Executive Officer
chtr,John Bickham,President and Chief Operating Officer
chtr,Christopher L. Winfrey,Chief Financial Officer
chtr,Richard J. DiGeronimo,Chief Product and Technology Officer
chtr,David G. Ellen,Senior Executive Vice President
chtr,David Scott Weber,Special Advisor to the President and Chief Operating Officer
chtr,Kevin D. Howard,"Executive Vice President, Chief Accounting Officer and Controller"
chtr,Stephanie Mitchko-Beale,Executive Vice President and Chief Technology Officer
chtr,Jay Carlson,Senior Vice President of Information Technology and Chief Information Officer
chtr,Stefan Anninger,Vice President of Investor Relations
cvx,Michael K. Wirth,Chairman and Chief Executive Officer
cvx,Pierre R. Breber,Vice President and Chief Financial Officer
cvx,Mark A. Nelson,Executive Vice President of Downstream and Chemicals
cvx,James William Johnson,Executive Vice President of Upstream
cvx,Joseph C. Geagea,"Executive Vice President of Technology, Projects and Services"
cvx,Eimear Bonner,Chief Technology Officer
cvx,R. Hewitt Pate,Vice President and General Counsel
cvx,Rhonda J. Morris,Vice President and Chief Human Resources Officer
cvx,James Seutloadi,Chairman and GM of Corporate and Gov. Affairs of Caltex Oil South Africa
cvx,Maria Lindenberg,Chief Procurement Officer
cmg,Brian R. Niccol,Chairman and Chief Executive Officer
cmg,John R. Hartung,Chief Financial Officer
cmg,Curtis E. Garner III,Chief Technology Officer
cmg,Christopher Brandt,Chief Marketing Officer
cmg,Scott Boatwright,Chief Restaurant Officer
cmg,Ashish Kohli CFA,Head of Investor Relations
cmg,Roger E. Theodoredis,"Chief Legal Officer, General Counsel and Corporate Secretary"
cmg,Marissa Andrada,"Chief Diversity, Inclusion and People Officer"
cmg,James Marsden,Executive Director of Food Safety
cmg,Jim Slater,Managing Director of Europe
cb,Evan G. Greenberg,Executive Chairman and Chief Executive Officer
cb,John W. Keogh,President and Chief Operating Officer
cb,Philip V. Bancroft,Executive Vice President and Chief Financial Officer
cb,John Joseph Lupica,"Vice Chairman, President of North America Insurance Operations"
cb,Paul Joseph Krump,Vice Chairman of Global Underwriting and Claims
cb,Annmarie T. Hagan,"Global Controller, Vice President and Chief Accounting Officer"
cb,Karen L. Beyer,Senior Vice President of Investor Relations
cb,Joseph F. Wayland J.D.,"Executive Vice President, General Counsel and Secretary"
cb,Timothy Alan Boroughs,Executive Vice President and Chief Investment Officer of Chubb Group
cb,Kenneth M. Koreyva,Senior Vice President of Chubb Group Finance
chd,Matthew Thomas Farrell,"President, Chief Executive Officer and Chairman"
chd,Richard A. Dierker,Chief Financial Officer and Executive Vice President
chd,"Patrick D. de Maynadier Esq., J.D.","Executive Vice President, General Counsel and Secretary"
chd,Britta B. Bomhard,Executive Vice President and Chief Marketing Officer
chd,Steven P. Cugine,Executive Vice President of Global New Products Innovation
chd,Rick Spann,Executive Vice President of Global Operations
chd,Joseph James Longo,"Vice President, Chief Accounting Officer and Corporate Controller"
chd,Paul R. Wood,Executive Vice President of U.S. Sales
chd,Rene M. Hemsey,Executive Vice President of Global Human Resources
chd,Carlos G. Linares,Executive Vice President of Global Research & Development
ci,David Michael Cordani,"President, Chief Executive Officer and Director"
ci,Nicole Susan Jones,Executive Vice President and General Counsel
ci,Matthew Glenn Manders,President of Gov. and Solutions
ci,Eric Paul Palmer,President and Chief Operating Officer of Evernorth
ci,Timothy C. Wentworth,Chief Executive Officer of Evernorth
ci,Brian C. Evanko,Executive Vice President and Chief Financial Officer
ci,Mary Terese Agoglia Hoeltzel CPA,Senior Vice President of Tax and Chief Accounting Officer
ci,Dr. Mark Lewis Boxer Ph.D.,Executive Vice President and Global Chief Information Officer
ci,Noelle K. Eder,Executive Vice President and Global Chief Information Officer
ci,William McDowell III,Vice President of Investor Relations
cinf,"Steven Justus Johnston C.F.A., FCAS, MAAA, CFA, CERA","Chairman, President and Chief Executive Officer"
cinf,"Michael James Sewell CPA, CPA","Chief Financial Officer, Principal Accounting Officer, Senior Vice President and Treasurer"
cinf,"Martin Francis Hollenbeck C.P.C.U., CFA, C.F.A., CPCU","Chief Investment Officer, Senior Vice President, Assistant Secretary and Assistant Treasurer"
cinf,Stephen Michael Spray,Senior Vice President and Chief Insurance Officer of the Cincinnati Insurance Company
cinf,John Scott Kellington,Chief Information Officer and Senior Vice President of The Cincinnati Insurance Company
cinf,"Dennis E. McDaniel C.M.A., C.P.C.U., C.P.A., CPCU, CPA, CFM, CMA",Vice President and Investor Relations Officer
cinf,Lisa Anne Love Esq.,"Senior Vice President, General Counsel and Corporate Secretary"
cinf,Betsy E. Ertel C.P.C.U.,Vice President of Corporate Communications
cinf,Gregory Ziegler,HR Director
cinf,Teresa Currin Cracas Esq.,Chief Risk Officer and Senior Vice President of The Cincinnati Insurance Company
ctas,Scott D. Farmer,Chairman and Chief Executive Officer
ctas,J. Michael Hansen,Chief Financial Officer and Executive Vice President
ctas,Todd M. Schneider,Chief Operating Officer and Executive Vice President
ctas,Michael L. Thompson,Executive Vice President and Chief Administrative Officer
ctas,Thomas Edward Frooman,"Senior Vice President, Secretary and General Counsel"
ctas,Richard T. Farmer,Founder and Chairman Emeritus
ctas,Matt Hough,Vice President and Chief Information Officer
ctas,Paul F. Adler,Vice President of Investor Relations and Treasurer
ctas,Michelle Goret,Vice President of Corporate Affairs
ctas,Robert W. Mitchell Jr.,Chief Marketing Officer
csco,Charles H. Robbins,Chairman and Chief Executive Officer
csco,Maria Martinez,Executive Vice President and Chief Operating Officer
csco,Tiang Yew Tan,Chairman of APJC
csco,Geraldine T. Elliott,Executive Vice President and Chief Customer and Partner Officer
csco,Richard Scott Herren,Executive Vice President and Chief Financial Officer
csco,Pratik S. Bhatt,"Chief Accounting Officer, Senior Vice President and Corporate Controller"
csco,Jacqueline Guichelaar,Senior Vice President and Group Chief Information Officer
csco,Marilyn Mora,Director of Global Investor Relations
csco,Mark D. Chandler,"Executive Vice President, Chief Legal Officer and Chief Compliance Officer"
csco,Stella Low,Senior Vice President and Chief Communications Officer
c,Jane Nind Fraser Ph.D.,Chief Executive Officer and Director
c,Mark A.L. Mason,Chief Financial Officer
c,Michael Whitaker,Head of Operations and Technology
c,Paco Ybarra,Chief Executive Officer of Institutional Clients Group
c,Sanford I. Weill,Chairman Emeritus and Senior Advisor
c,David R. Bailin,Chief Investment Officer and Global Head of Investments
c,Johnbull Okpara,Chief Accounting Officer and Controller
c,Manolo Falco,"Global Co-Head of Banking, Capital Markets and Advisory (BCMA)"
c,Karen Bretherick Peetz,Chief Administrative Officer
c,Elizabeth Lynn,Interim Head of Investor Relations
cfg,Bruce Winfield Van Saun,Chief Executive Officer and Chairman
cfg,John F. Woods,Vice Chairman and Chief Financial Officer
cfg,Malcolm D. Griggs,Chief Legal and Risk Officer and General Counsel
cfg,Susan LaMonica,Executive Vice President and Chief Human Resources Officer
cfg,Donald H. McCree III,Vice Chairman and Head of Commercial Banking Division
cfg,Craig Jack Read,"Executive Vice President, Chief Accounting Officer and Controller"
cfg,Michael Ruttledge,Group Chief Information Officer
cfg,Kristin Silberberg,Head of Investor Relations
cfg,Barbara S. Cottam,Executive Vice President and Head of Corporate Affairs
cfg,Anthony Borzaro Jr.,Chief Financial Officer and Executive Vice President of Commercial Banking
ctxs,David James Henshall,"Chief Executive Officer, President and Director"
ctxs,Arlen R. Shenkman,Executive Vice President and Chief Financial Officer
ctxs,Woong Kim,Executive Vice President of Engineering and Chief Technology Officer
ctxs,Antonio G. Gomes,"Executive Vice President, Chief Legal Officer and Secretary"
ctxs,Paul J. Hough,Executive Officer
ctxs,Mark J. Schmitz,Chief Operating Officer and Executive Vice President
ctxs,Jessica Soisson,"Vice President, Chief Accounting Officer and Corporate Controller"
ctxs,Traci T. Tsuchiguchi,Vice President of Investor Relations
ctxs,Timothy A. Minahan,Executive Vice President of Business Strategy and Chief Marketing Officer
ctxs,Isaac Leonard,Senior Director of Corporate Development and Corporate Venture Capital
clx,Linda Rendle,Chief Executive Officer and Director
clx,Kevin B. Jacobsen,Executive Vice President and Chief Financial Officer
clx,Eric H. Reynolds,Executive Vice President and Chief Operating Officer
clx,Jeff R. Baker,"Vice President, Chief Accounting Officer and Corporate Controller"
clx,Chau Banks,Senior Vice President and Chief Information and Enterprise Analytics Officer
clx,Lisah Burhan,Vice President of Investor Relations
clx,Angela C. Hilt,"Senior Vice President, Corporate Secretary and Chief Legal Officer"
clx,Stacey Grier,Senior Vice President and Chief Marketing and Strategy Officer
clx,Kirsten M. Marriner,Executive Vice President and Chief People and Corporate Affairs Officer
clx,Erbie L. Foster Jr.,Chief Diversity Officer
cme,Terrence A. Duffy,Chairman and Chief Executive Officer
cme,"John William Pietrowicz M.B.A., CPA",Chief Financial Officer
cme,Julie Holzrichter,Senior MD and Chief Operating Officer
cme,Kevin D. Kometer,Senior MD and Chief Information Officer
cme,Sunil Cutinho,President of CME Clearing
cme,Jack Tobin,MD and Chief Accounting Officer
cme,John C. Peschier,Managing Director of Investor Relations
cme,Kathleen M. Cronin,"Senior MD, General Counsel and Corporate Secretary"
cme,Anita Liskey,Senior Managing Director of Corporate Marketing and Communications
cme,Hilda Harris Piell,Senior MD and Chief Human Resources Officer
cms,Garrick J. Rochow,"President, Chief Executive Officer and Director"
cms,Rejji P. Hayes,Executive Vice President and Chief Financial Officer
cms,Catherine A. Hendrian,Senior Vice President of Human Resources
cms,Brian F. Rich,Senior Vice President and Chief Customer Officer
cms,Jean-Francois Brossoit,"Senior Vice President of Transformation, Engineering and Operations Support"
cms,LeeRoy Wells Jr.,Senior Vice President of Operations
cms,Glenn P. Barba,"Vice President, Controller and Chief Accounting Officer"
cms,Tamara J. Faber-Doty,Vice President of Technology and Chief Digital Officer
cms,Srikanth Maddipati,Vice President of IR and Treasurer
cms,Melissa M. Gleespen,"Vice President, Chief Compliance Officer and Corporate Secretary"
ko,James Robert B. Quincey,Chairman and Chief Executive Officer
ko,Brian John Smith,President and Chief Operating Officer
ko,John Murphy,Executive Vice President and Chief Financial Officer
ko,Bradley M. Gayton,Senior Vice President and Global General Counsel
ko,Manuel Arroyo Prieto,Global Chief Marketing Officer
ko,Mark Randazza,Vice President and Chief Accounting Officer
ko,Nancy W. Quan,Chief Technical and Innovation Officer
ko,Timothy K. Leveridge,Vice President and Investor Relations Officer
ko,Beatriz R. Perez,"Senior Vice President and Global Chief of Communications, Sustainability and Strategic Partnerships"
ko,Lisa Chang,Global Chief People Officer
ctsh,Brian Humphries,Chief Executive Officer and Director
ctsh,Malcolm Frank,Executive Vice President and President of Digital Business and Technology
ctsh,Dharmendra Kumar Sinha,Executive Vice President and President of North America
ctsh,Jan Siegmund,Chief Financial Officer
ctsh,Srinivasan Veeraraghavachary,Executive Vice President and Chief Operating Officer
ctsh,Robert Telesmanic,"Senior Vice President, Corporate Controller and Chief Accounting Officer"
ctsh,Anil T. Cheriyan,Executive Vice President of Strategy and Technology
ctsh,Lawrence Wieser,Chief Administrative Officer
ctsh,Katie Royce,Global Head of Investor Relations
ctsh,John Kim,"Executive Vice President, General Counsel, Chief Corporate Affairs Officer and Secretary"
cl,Noel R. Wallace,"Chairman, Chief Executive Officer and Pres"
cl,Stanley J. Sutula III,Chief Financial Officer
cl,Jennifer M. Daniels,Chief Legal Officer and Secretary
cl,Panagiotis Tsourapas,"Group President of Colgate-Latin America, Asia Pacific and Africa/Eurasia"
cl,Prabha Parameswaran,Group President of Global Innovation Group
cl,Dr. Patricia D. Verduin Ph.D.,Chief Technology Officer
cl,Mike Crowe,Chief Information Officer
cl,John Faucher,Chief Investor Relations Officer
cl,Valerie Haliburton,Vice President of Global Ethics and Compliance
cl,Paula Davis,Vice President and Chief Communications Officer
cmcsa,Brian L. Roberts,"Chairman, Chief Executive Officer and Pres"
cmcsa,Michael J. Cavanagh,Chief Financial Officer
cmcsa,David N. Watson,President and Chief Executive Officer of Comcast Cable
cmcsa,David L. Cohen,Senior Counselor
cmcsa,Melinda Lindsley,Operations Director
cmcsa,Daniel C. Murdock,"Executive Vice President, Chief Accounting Officer and Controller"
cmcsa,Matthew Zelesko,Chief Technology Officer
cmcsa,Adam Louis Miller,Chief Administrative Officer and Executive Vice President of NBCUniversal
cmcsa,Marci Ryvicker,Senior Vice President of Investor Relations
cmcsa,Jennifer J. Heller,"Chief Compliance Officer, Vice President and Senior Deputy General Counsel"
cma,Curtis Chatman Farmer,"Executive Chairman, Chief Executive Officer and Pres"
cma,James J. Herzog,Chief Financial Officer and Executive Vice President
cma,Megan D. Crespi,Executive Vice President and Chief Enterprise Technology and Operations Services Officer
cma,John D. Buchanan,Executive Vice President of Legal and Regulatory Affairs and Corporate Secretary
cma,James McGregor Carr,Executive Vice President and Executive Director of Wealth Management
cma,Edward T. Gwilt,"SVice President of Asset Quality Review, Chief Loan Review Officer of Comerica's Bank and Member of Mgmt Council"
cma,Mauricio A. Ortiz,Senior Vice President and Chief Accounting Officer
cma,Darlene P. Persons,Director of Investor Relations
cma,Megan D. Burkhart,Executive Vice President and Chief Human Resources Officer
cma,Michele Lafonte Jones,Senior Vice President and Alternate Group Manager - Energy Finance Group
cag,Sean M. Connolly,"President, Chief Executive Officer and Director"
cag,David S. Marberger,Executive Vice President and Chief Financial Officer
cag,Thomas M. McGough,Co-Chief Operating Officer and Executive Vice President
cag,Darren C. Serrao,Co-Chief Operating Officer and Executive Vice President
cag,Colleen R. Batcheler,"Executive Vice President, General Counsel and Corporate Secretary"
cag,Mindy Simon,Chief Information Officer
cag,Brian Kearney,Head of Investor Relations
cag,Jonathan J. Harris,Chief Communications Officer and Senior Vice President
cag,Charisse Brock,Executive Vice President and Chief Human Resources Officer
cag,Stephen J. Tibey,Senior Vice President of Supply Chain Management
cop,Ryan M. Lance,Chairman and Chief Executive Officer
cop,William L. Bullock Jr.,Executive Vice President and Chief Financial Officer
cop,Matthew J. Fox,Executive Vice President and Chief Operating Officer
cop,Dominic E. Macklon,Senior Vice President of Strategy and Technology
cop,Kelly Brunetti Rose J.D.,Senior Vice President of Legal and General Counsel
cop,Kontessa S. Haynes-Welsh,Chief Accounting Officer
cop,Shannon B. Kinney,"Deputy General Counsel, Chief Compliance Officer and Corporate Secretary"
cop,Heather G. Sirdashney,Vice President of Human Resources and Real Estate and Facilities Services
cop,Chris Conway,Head of Trading and Supply Operations
cop,David Chenier,President of United Kingdom
ed,Timothy P. Cawley,"President, Chief Executive Officer and Director"
ed,Robert N. Hoglund,Senior Vice President and Chief Financial Officer
ed,Deneen Lynette Donnley,Senior Vice President and General Counsel
ed,Mark A. Noyes,"Chief Executive Officer and President of Clean Energy Corporate, Conedison Solu, Conso Edison Dev and Con Edison Energy"
ed,Robert Sanchez,"President and Chief Executive Officer of Orange and Rockland Utilities, Inc."
ed,Joseph Miller,"Vice President, Controller and Principal Accounting Officer"
ed,Jan C. Childress,Director of Investor Relations
ed,James J. Dixon P.E.,"Chief Operating Officer and SVice President of Clean Energy Corporate, Conedison Solu, Consolidated Edison Dev and Con Edison Energy"
ed,Yukari Saegusa,Vice President and Treasurer
ed,Sylvia V. Dooley,Vice President and Corporate Secretary
stz,Robert S. Sands II,Executive Chairman
stz,William A. Newlands,"President, Chief Executive Officer and Director"
stz,Dr. Richard Sands,Executive Vice Chairman
stz,Garth Hankinson,Executive Vice President and Chief Financial Officer
stz,Robert L. Hanson,Executive Vice President and President of Wine and Spirits
stz,Ricardo Bartra,Senior Vice President and Chief Technology Officer
stz,Lee Tussing,Senior Vice President and Chief Information Officer
stz,Patty Yahn-Urlaub,Senior Vice President of Investor Relations
stz,James O. Bourdeau,"Executive Vice President, Chief Legal Officer and Secretary"
stz,Michael McGrew,"Executive Vice President and Chief Communications, Corporate Social Responsibility and Diversity Officer"
coo,Albert G. White III,"President, Chief Executive Officer and Non-Independent Director"
coo,Brian G. Andrews,"Executive Vice President, Chief Financial Officer and Treasurer"
coo,Daniel G. McBride,Executive Vice President and Chief Operating Officer
coo,Holly R. Sheffield,"President of CooperSurgical, Inc."
coo,Agostino Ricupati,Senior Vice President of Finance and Tax and Chief Accounting Officer
coo,Kim Duncan,Vice President of Investor Relations and Risk Management
coo,Mark J. Drury,"Vice President, General Counsel and Corporate Secretary"
coo,Juan Carlos Aragón,President of CooperVision Specialty EyeCare Division
cprt,Willis J. Johnson,Founder and Executive Chairman
cprt,A. Jayson Adair,Chief Executive Officer and Director
cprt,Jeffrey Liaw,President and Chief Executive Officer of North America
cprt,John F. North III,Senior Vice President and Chief Financial Officer
cprt,Steve Powers,Chief Operating Officer
cprt,Rama Prasad,Chief Technology Officer
cprt,Gregory R. Depasquale,General Counsel and Secretary
cprt,Robert H. Vannuccini,Chief Sales Officer
cprt,Scott Booker,Chief Marketing and Product Officer
cprt,Nigel Paget,Managing Director of UK
glw,Wendell P. Weeks,Chairman and Chief Executive Officer
glw,Eric S. Musser,President and Chief Operating Officer
glw,R. Tony Tripeny,Executive Vice President and Chief Financial Officer
glw,Lawrence D. McRae,First Vice Chairman and Corporate Development Officer
glw,James P. Clappin,Second Vice Chairman and Strategic Advisor to the Chief Executive Officer
glw,Dr. David L. Morse,Executive Vice President and Chief Technology Officer
glw,Anne Elizabeth Mullins,Senior Vice President and Chief Digital and Information Officer
glw,Lewis A. Steverson,Executive Vice President and Chief Legal and Administrative Officer
glw,Ann H. S. Nicholson,Vice President of Investor Relations
glw,Kevin G. Corliss,Vice President of Global Employee Relations and Chief Compliance Officer
ctva,James C. Collins Jr.,Chief Executive Officer and Director
ctva,Cornel B. Fuerer,"Senior Vice President, Secretary and General Counsel"
ctva,Rajan Gajaria,Executive Vice President of Business Platforms
ctva,Timothy P. Glenn,Executive Vice President and Chief Commercial Officer
ctva,"David John Anderson B.S., M.B.A., MBA",Executive Vice President and Chief Financial Officer
ctva,Brian Titus,"Vice President, Controller and Principal Accounting Officer"
ctva,Samuel R. Eathington,Senior Vice President and Chief Technology Officer
ctva,Debra King,"Senior Vice President, Chief Information Officer and Chief Transformation Officer"
ctva,Meghan Cassidy,"Senior Vice President, Chief Human Resources and Diversity Officer"
ctva,Anne L. Alonzo,Senior Vice President of External Affairs and Chief Sustainability Officer
cost,W. Craig Jelinek,"President, Chief Executive Officer and Director"
cost,Richard A. Galanti,"Executive Vice President, Chief Financial Officer and Director"
cost,Joseph P. Portera,"Executive Vice President, Chief Operating Officer of Eastern and Canadian Divisions and Chief Diversity Officer"
cost,James P. Murphy,Executive Vice President and Chief Operating Officer of International Division
cost,Ron M. Vachris,Executive Vice President and Chief Operating Officer of Merchandising
cost,Paul G. Moulton,Executive Vice President and Chief Information Officer
cost,Patrick J. Callans,Executive Vice President of Administrative
cost,Robert E. Nelson,Senior Vice President of Financial Planning and Investor Relations and Treasury
cost,John Sullivan,"Senior Vice President, General Counsel, Chief Compliance Officer and Secretary"
cost,Richard C. Chavez,Senior Vice President of Costco Wholesale Industries and Business Development
cci,Jay A. Brown,"President, Chief Executive Officer and Director"
cci,Daniel K. Schlanger,Executive Vice President and Chief Financial Officer
cci,Kenneth J. Simon,Executive Vice President and General Counsel
cci,Robert C. Ackerman,Executive Vice President and Chief Operating Officer of Towers
cci,Christopher D. Levendos,Executive Vice President and Chief Operating Officer of Fiber
cci,Robert Sean Collins,"Principal Accounting Officer, Vice President and Controller"
cci,Benjamin Raymond Lowe CFA,Vice President of Corporate Finance and Treasurer
cci,Fiona McKone,Vice President of Communications and Marketing
cci,Philip M. Kelley,Executive Vice President of Corporate Development and Strategy
cci,Michael Joseph Kavanagh,Executive Vice President of Sales and Chief Commercial Officer
csx,James M. Foote,"President, Chief Executive Officer and Director"
csx,Kevin S. Boone,Executive Vice President and Chief Financial Officer
csx,Jamie J. Boychuk,Executive Vice President of Operations
csx,Nathan D. Goldman,"Executive Vice President, Chief Legal Officer and Corporate Secretary"
csx,Angela C. Williams,Vice President and Chief Accounting Officer
csx,Sarah Kathleen Brandt,Senior Vice President and Chief Information Officer
csx,Diana B. Sorfleet,Executive Vice President and Chief Administrative Officer
csx,Bill Slater,Head of Investor Relations
csx,Mark K. Wallace,Executive Vice President and Chief Sales and Marketing Officer
csx,Ricky Johnson,Senior Vice President of Engineering and Mechanical
cmi,N. Thomas Linebarger,Chairman and Chief Executive Officer
cmi,Livingston L. Satterthwaite,Vice Chairman
cmi,Mark A. Smith,Chief Financial Officer and Vice President
cmi,Srikanth Padmanabhan,Vice President and President of Engine Business
cmi,Jennifer W. Rumsey,President and Chief Operating Officer
cmi,Walter Jim Fier,Vice President and Chief Technical Officer
cmi,Sherry A. Aaholm,Vice President and Chief Information Officer
cmi,Sharon R. Barner,Vice President and Chief Administrative Officer
cmi,Jack Kienzler,Executive Director of Investor Relations
cmi,Mark J. Sifferlen,Vice President of Ethics and Compliance and Secretary
cvs,Karen Sue Lynch,"President, Chief Executive Officer and Director"
cvs,Eva C. Boratto,Executive Vice President and Chief Financial Officer
cvs,Jonathan C. Roberts,Executive Vice President and Chief Operating Officer
cvs,Larry J. Merlo,Strategic Advisor and Director
cvs,Dr. Alan M. Lotvin,Executive Vice President and President of CVS Caremark
cvs,James David Clark,"Senior Vice President, Controller and Chief Accounting Officer"
cvs,Katie Durant,Senior Director of Investor Relations
cvs,Thomas Michael Moriarty,"Executive Vice President, Chief Policy and External Affairs Officer and General Counsel"
cvs,David A. Falkowski,Executive Vice President and Chief Compliance Officer
cvs,Laurie P. Havanec,Executive Vice President and Chief People Officer
dhi,Donald R. Horton,Chairman
dhi,David V. Auld,President and Chief Executive Officer
dhi,Bill W. Wheat,Executive Vice President and Chief Financial Officer
dhi,Michael J. Murray,Executive Vice President and Chief Operating Officer
dhi,Aron M. Odom,Vice President and Corporate Controller
dhi,Collin Dawson,Vice President of Corporate Finance and Treasurer
dhi,Jessica Hansen,Vice President of Investor Relations
dhi,Thomas B. Montano,"Vice President, Corporate Compliance Officer and Secretary"
dhi,Matt Farris,President of West Region
dhi,Tom Hill,President of East Region
dhr,Steven M. Rales,Co-Founder and Chairman
dhr,Rainer M. Blair,"President, Chief Executive Officer and Director"
dhr,Mitchell P. Rales,Co-Founder and Director
dhr,Matthew R. McGrew,Chief Financial Officer and Executive Vice President
dhr,Brian W. Ellis,"Senior Vice President, General Counsel and Chief Compliance Officer"
dhr,Angela S. Lalor,Senior Vice President of Human Resources
dhr,Joakim Weidemanis,Executive Vice President
dhr,Robert S. Lutz,Chief Accounting Officer and Senior Vice President
dhr,Dr. Jose-Carlos Gutierrez-Ramos Ph.D.,Senior Vice President and Chief Science Officer
dhr,"Matthew E. Gugino C.F.A., CPA, CFA, CPA",Vice President of Investor Relations
dri,Eugene I. Lee Jr.,Chief Executive Officer and Chairman
dri,Ricardo Cardenas,President and Chief Operating Officer
dri,Todd A. Burrowes,President of Longhorn Steakhouse
dri,Daniel J. Kiernan,President of Olive Garden
