company_code,trading_date,current_stock_price,previous_closing_stock_price,stock_price_change,percentage_stock_price_change,opening_stock_price,stocks_day_range,day_trading_volume,fifty_two_week_range,analysts_forecast
cma,April 27,$71.74,$71.01,0.73,1.03%,71.09,70.61 - 71.79,"1,261,044",26.27 - 73.54,"According to 25 analysts, the average rating for Comerica stock is ""Hold."" The 12-month stock price forecast is 73.09, which is an increase of 1.88% from the latest price."
cag,April 27,$37.06,$37.20,-0.14,-0.38%,37.20,37.00 - 37.35,"3,169,683",31.00 - 38.98,"According to 17 analysts, the average rating for Conagra Brands stock is ""Buy."" The 12-month stock price forecast is 38.94, which is an increase of 5.07% from the latest price."
cop,April 27,$51.30,$50.25,1.05,2.09%,50.44,50.26 - 51.69,"8,309,570",27.28 - 61.14,
ed,April 27,$76.19,$76.87,-0.68,-0.88%,76.90,76.12 - 76.94,"1,592,975",65.56 - 83.39,"According to 17 analysts, the average rating for ED stock is ""Sell."" The 12-month stock price forecast is 72.19, which is a decrease of -5.25% from the latest price."
stz,April 27,$238.35,$238.51,-0.16,-0.07%,239.51,237.58 - 239.65,"697,581",149.75 - 243.44,
coo,April 27,$407.42,$409.65,-2.23,-0.54%,408.00,404.76 - 412.44,"182,354",268.87 - 414.37,"According to 16 analysts, the average rating for COO stock is ""Buy."" The 12-month stock price forecast is 419.25, which is an increase of 2.90% from the latest price."
cprt,April 27,$123.97,$123.45,0.52,0.42%,123.25,122.92 - 124.54,"499,884",76.28 - 130.96,"According to 10 analysts, the average rating for Copart stock is ""Buy."" The 12-month stock price forecast is 132.00, which is an increase of 6.48% from the latest price."
glw,April 27,$44.51,$46.07,-1.56,-3.39%,45.60,44.24 - 45.60,"4,994,658",18.29 - 46.82,"According to 13 analysts, the average rating for Corning stock is ""Buy."" The 12-month stock price forecast is 47.86, which is an increase of 7.53% from the latest price."
ctva,April 27,$49.16,$48.87,0.29,0.59%,48.79,48.60 - 49.27,"2,083,449",22.00 - 49.34,
cost,April 27,$370.21,$368.52,1.69,0.46%,368.17,365.29 - 370.96,"1,527,815",284.61 - 387.31,"According to 34 analysts, the average rating for Costco stock is ""Buy."" The 12-month stock price forecast is 387.50, which is an increase of 4.67% from the latest price."
cci,April 27,$184.74,$186.10,-1.36,-0.73%,186.77,184.15 - 186.77,"1,353,557",142.98 - 188.13,"According to 18 analysts, the average rating for Crown Castle stock is ""Buy."" The 12-month stock price forecast is 192.00, which is an increase of 3.93% from the latest price."
csx,April 27,$101.92,$102.32,-0.40,-0.39%,102.07,101.40 - 102.29,"3,345,251",59.41 - 103.74,"According to 27 analysts, the average rating for CSX stock is ""Buy."" The 12-month stock price forecast is 105.74, which is an increase of 3.75% from the latest price."
cmi,April 27,$257.83,$259.05,-1.22,-0.47%,258.71,255.71 - 260.08,"1,140,148",139.68 - 277.09,"According to 23 analysts, the average rating for Cummins stock is ""Buy."" The 12-month stock price forecast is 273.31, which is an increase of 6.00% from the latest price."
cvs,April 27,$75.11,$75.75,-0.64,-0.84%,75.48,74.97 - 75.70,"3,253,101",54.63 - 76.94,"According to 27 analysts, the average rating for CVS Health stock is ""Buy."" The 12-month stock price forecast is 87.34, which is an increase of 16.28% from the latest price."
dhi,April 27,$100.58,$100.41,0.17,0.17%,101.06,100.33 - 102.60,"3,902,725",43.58 - 102.60,"According to 22 analysts, the average rating for D.R. Horton stock is ""Buy."" The 12-month stock price forecast is 107.18, which is an increase of 6.56% from the latest price."
dhr,April 27,$258.02,$258.10,-0.08,-0.03%,257.80,255.30 - 259.38,"1,435,104",155.03 - 260.37,"According to 21 analysts, the average rating for Danaher stock is ""Buy."" The 12-month stock price forecast is 288.29, which is an increase of 11.73% from the latest price."
dri,April 27,$142.66,$142.14,0.52,0.37%,142.01,142.00 - 144.19,"1,219,455",60.47 - 148.83,
dva,April 27,$112.36,$113.35,-0.99,-0.87%,112.48,112.12 - 113.74,"487,189",74.70 - 125.28,"According to 12 analysts, the average rating for DaVita stock is ""Hold."" The 12-month stock price forecast is 121.57, which is an increase of 8.20% from the latest price."
de,April 27,$382.36,$380.45,1.91,0.50%,381.50,378.48 - 383.50,"773,334",116.23 - 391.46,"According to 21 analysts, the average rating for DE stock is ""Buy."" The 12-month stock price forecast is 391.47, which is an increase of 2.38% from the latest price."
dal,April 27,$46.34,$46.61,-0.27,-0.58%,46.66,46.09 - 46.78,"7,213,060",17.51 - 52.28,
xray,April 27,$66.26,$66.31,-0.05,-0.08%,66.41,65.76 - 66.50,"1,545,770",35.82 - 66.92,
dvn,April 27,$22.14,$21.87,0.27,1.23%,21.95,21.60 - 22.29,"6,796,852",7.62 - 25.93,"According to 30 analysts, the average rating for Devon Energy stock is ""Buy."" The 12-month stock price forecast is 30.70, which is an increase of 38.66% from the latest price."
dxcm,April 27,$421.70,$418.77,2.93,0.70%,416.84,416.61 - 423.00,"756,410",305.63 - 456.23,"According to 21 analysts, the average rating for DexCom stock is ""Buy."" The 12-month stock price forecast is 466.00, which is an increase of 10.51% from the latest price."
fang,April 27,$79.32,$77.46,1.86,2.40%,77.58,77.30 - 79.60,"1,302,402",23.22 - 88.75,
dfs,April 27,$107.76,$106.19,1.57,1.48%,105.87,105.76 - 108.13,"2,107,256",34.01 - 108.13,"According to 23 analysts, the average rating for DFS stock is ""Buy."" The 12-month stock price forecast is 115.94, which is an increase of 7.59% from the latest price."
disca,April 27,$39.01,$38.85,0.16,0.41%,38.62,38.40 - 39.55,"6,978,160",18.56 - 78.14,"According to 25 analysts, the average rating for Discovery stock is ""Hold."" The 12-month stock price forecast is 48.10, which is an increase of 23.30% from the latest price."
disck,April 27,$33.17,$32.99,0.18,0.55%,32.77,32.33 - 33.49,"3,989,444",16.80 - 66.70,"According to 24 analysts, the average rating for Discovery stock is ""Hold."" The 12-month stock price forecast is 37.33, which is an increase of 12.54% from the latest price."
dish,April 27,$42.46,$43.08,-0.62,-1.44%,43.00,42.26 - 43.45,"4,711,634",22.53 - 43.45,"According to 20 analysts, the average rating for DISH Network stock is ""Buy."" The 12-month stock price forecast is 42.82, which is an increase of 0.85% from the latest price."
dg,April 27,$212.40,$211.73,0.67,0.32%,211.66,210.27 - 213.77,"1,435,350",171.71 - 224.40,"According to 29 analysts, the average rating for Dollar General stock is ""Buy."" The 12-month stock price forecast is 233.12, which is an increase of 9.76% from the latest price."
dltr,April 27,$115.01,$113.98,1.03,0.90%,114.24,114.11 - 115.51,"1,232,876",72.12 - 120.37,"According to 28 analysts, the average rating for Dollar Tree stock is ""Buy."" The 12-month stock price forecast is 121.53, which is an increase of 5.67% from the latest price."
d,April 27,$78.29,$78.68,-0.39,-0.50%,78.50,78.08 - 78.67,"2,290,321",67.57 - 85.49,
dpz,April 27,$401.03,$400.21,0.82,0.20%,400.02,399.11 - 403.38,"456,648",318.87 - 433.55,"According to 28 analysts, the average rating for Domino's Pizza stock is ""Buy."" The 12-month stock price forecast is 413.69, which is an increase of 3.16% from the latest price."
dov,April 27,$147.94,$146.39,1.55,1.06%,146.40,145.27 - 148.10,"751,903",78.80 - 149.40,"According to 16 analysts, the average rating for Dover stock is ""Buy."" The 12-month stock price forecast is 157.64, which is an increase of 6.56% from the latest price."
dow,April 27,$62.65,$62.20,0.45,0.72%,62.27,61.72 - 62.85,"3,236,391",29.57 - 67.27,
dte,April 27,$136.25,$137.53,-1.28,-0.93%,136.62,136.23 - 139.26,"889,419",89.13 - 141.98,"According to 18 analysts, the average rating for DTE Energy stock is ""Buy."" The 12-month stock price forecast is 142.19, which is an increase of 4.36% from the latest price."
duk,April 27,$98.61,$99.20,-0.59,-0.59%,98.96,98.34 - 99.15,"3,441,328",75.15 - 101.83,"According to 19 analysts, the average rating for Duke Energy stock is ""Buy."" The 12-month stock price forecast is 103.22, which is an increase of 4.67% from the latest price."
dre,April 27,$45.08,$45.40,-0.32,-0.70%,45.50,44.95 - 45.57,"2,541,033",28.28 - 46.00,"According to 16 analysts, the average rating for Duke Realty stock is ""Buy."" The 12-month stock price forecast is 46.14, which is an increase of 2.35% from the latest price."
dd,April 27,$77.08,$76.93,0.15,0.19%,76.51,76.12 - 77.19,"1,931,022",41.17 - 86.89,
dxc,April 27,$31.90,$31.65,0.25,0.79%,31.61,31.19 - 31.99,"1,162,636",13.65 - 32.45,
emn,April 27,$115.78,$115.66,0.12,0.10%,114.21,114.21 - 116.05,"581,662",55.56 - 118.37,"According to 17 analysts, the average rating for EMN stock is ""Buy."" The 12-month stock price forecast is 118.53, which is an increase of 2.38% from the latest price."
etn,April 27,$144.59,$143.37,1.22,0.85%,143.58,142.52 - 145.01,"1,539,334",69.18 - 145.01,"According to 24 analysts, the average rating for Eaton stock is ""Buy."" The 12-month stock price forecast is 147.44, which is an increase of 1.97% from the latest price."
ebay,April 27,$61.70,$61.58,0.12,0.19%,61.69,61.38 - 62.31,"4,330,097",37.07 - 65.11,"According to 33 analysts, the average rating for eBay Inc. stock is ""Buy."" The 12-month stock price forecast is 70.23, which is an increase of 13.82% from the latest price."
ecl,April 27,$218.41,$226.81,-8.40,-3.70%,222.44,217.31 - 224.99,"1,049,522",180.45 - 229.28,
eix,April 27,$58.50,$58.87,-0.37,-0.63%,58.72,58.48 - 58.89,"1,440,556",46.85 - 65.25,"According to 17 analysts, the average rating for EIX stock is ""Buy."" The 12-month stock price forecast is 70.63, which is an increase of 20.74% from the latest price."
ew,April 27,$96.15,$96.03,0.12,0.12%,95.93,95.63 - 96.62,"2,094,928",66.23 - 98.11,"According to 25 analysts, the average rating for EW stock is ""Buy."" The 12-month stock price forecast is 98.35, which is an increase of 2.29% from the latest price."
ea,April 27,$143.46,$143.79,-0.33,-0.23%,144.00,142.50 - 144.43,"2,159,538",109.87 - 150.11,"According to 31 analysts, the average rating for EA stock is ""Buy."" The 12-month stock price forecast is 158.70, which is an increase of 10.62% from the latest price."
emr,April 27,$92.16,$92.13,0.03,0.03%,92.29,91.39 - 92.41,"1,597,010",49.05 - 93.57,"According to 24 analysts, the average rating for EMR stock is ""Buy."" The 12-month stock price forecast is 98.79, which is an increase of 7.19% from the latest price."
enph,April 27,$171.10,$172.65,-1.55,-0.90%,173.27,169.10 - 175.74,"2,078,350",37.81 - 229.04,"According to 18 analysts, the average rating for Enphase Energy stock is ""Buy."" The 12-month stock price forecast is 208.18, which is an increase of 21.67% from the latest price."
etr,April 27,$106.54,$107.00,-0.46,-0.43%,106.53,106.08 - 107.32,"1,896,646",85.78 - 112.24,"According to 18 analysts, the average rating for Entergy stock is ""Buy."" The 12-month stock price forecast is 114.81, which is an increase of 7.76% from the latest price."
eog,April 27,$71.68,$69.83,1.85,2.65%,70.04,69.75 - 72.03,"2,808,807",30.85 - 76.72,
efx,April 27,$234.34,$225.53,8.81,3.91%,227.49,227.05 - 234.97,"885,150",134.35 - 234.97,
eqix,April 27,$713.88,$716.97,-3.09,-0.43%,723.80,710.25 - 723.80,"271,546",586.73 - 833.21,"According to 27 analysts, the average rating for Equinix stock is ""Buy."" The 12-month stock price forecast is 836.69, which is an increase of 17.20% from the latest price."
eqr,April 27,$74.38,$74.72,-0.34,-0.46%,74.75,73.90 - 74.75,"2,088,750",44.59 - 75.49,"According to 22 analysts, the average rating for EQR stock is ""Hold."" The 12-month stock price forecast is 68.42, which is a decrease of -8.01% from the latest price."
ess,April 27,$297.04,$296.88,0.16,0.05%,298.17,294.85 - 298.65,"267,867",183.29 - 300.74,"According to 22 analysts, the average rating for ESS stock is ""Buy."" The 12-month stock price forecast is 288.16, which is a decrease of -2.99% from the latest price."
el,April 27,$315.50,$316.25,-0.75,-0.24%,316.25,312.62 - 316.98,"1,043,331",157.61 - 317.46,"According to 25 analysts, the average rating for Estée Lauder stock is ""Buy."" The 12-month stock price forecast is 314.05, which is a decrease of -0.46% from the latest price."
etsy,April 27,$207.49,$205.18,2.31,1.13%,206.16,206.00 - 210.80,"2,075,513",61.31 - 251.86,"According to 17 analysts, the average rating for Etsy, Inc. stock is ""Buy."" The 12-month stock price forecast is 237.38, which is an increase of 14.41% from the latest price."
evrg,April 27,$62.90,$63.53,-0.63,-0.99%,63.15,62.57 - 63.47,"798,518",47.67 - 65.26,"According to 8 analysts, the average rating for Evergy stock is ""Buy."" The 12-month stock price forecast is 66.29, which is an increase of 5.39% from the latest price."
es,April 27,$87.02,$87.77,-0.75,-0.85%,87.66,86.88 - 88.02,"904,037",71.57 - 95.30,"According to 20 analysts, the average rating for ES stock is ""Buy."" The 12-month stock price forecast is 92.94, which is an increase of 6.80% from the latest price."
re,April 27,$267.05,$266.00,1.05,0.39%,266.99,265.50 - 268.38,"188,910",154.21 - 269.23,"According to 9 analysts, the average rating for RE stock is ""Buy."" The 12-month stock price forecast is 290.89, which is an increase of 8.93% from the latest price."
exc,April 27,$44.54,$44.65,-0.11,-0.25%,44.58,44.39 - 44.75,"3,640,881",33.11 - 46.36,"According to 19 analysts, the average rating for Exelon stock is ""Buy."" The 12-month stock price forecast is 49.33, which is an increase of 10.75% from the latest price."
expe,April 27,$177.08,$176.68,0.40,0.23%,177.03,176.03 - 179.58,"1,903,263",58.39 - 187.93,
expd,April 27,$109.45,$109.62,-0.17,-0.16%,109.92,109.23 - 110.99,"1,062,878",68.66 - 112.71,"According to 15 analysts, the average rating for EXPD stock is ""Sell."" The 12-month stock price forecast is 98.07, which is a decrease of -10.40% from the latest price."
exr,April 27,$147.26,$146.59,0.67,0.46%,146.67,145.53 - 147.56,"457,639",78.18 - 148.89,"According to 14 analysts, the average rating for EXR stock is ""Buy."" The 12-month stock price forecast is 145.08, which is a decrease of -1.48% from the latest price."
xom,April 27,$56.41,$55.68,0.73,1.31%,55.98,55.81 - 56.63,"16,895,220",29.87 - 62.55,
ffiv,April 27,$205.34,$210.74,-5.40,-2.56%,212.49,204.93 - 213.38,"952,332",116.79 - 216.15,"According to 20 analysts, the average rating for F5 Networks stock is ""Buy."" The 12-month stock price forecast is 219.47, which is an increase of 6.88% from the latest price."
fb,April 27,$303.57,$303.04,0.53,0.17%,304.44,301.11 - 305.34,"13,737,226",190.00 - 315.88,"According to 47 analysts, the average rating for Facebook stock is ""Buy."" The 12-month stock price forecast is 341.45, which is an increase of 12.48% from the latest price."
fast,April 27,$51.91,$51.92,-0.01,-0.02%,51.67,51.48 - 51.98,"2,501,209",34.10 - 52.50,"According to 17 analysts, the average rating for Fastenal stock is ""Hold."" The 12-month stock price forecast is 51.75, which is a decrease of -0.31% from the latest price."
frt,April 27,$111.80,$109.90,1.90,1.73%,110.13,109.79 - 112.28,"966,057",61.16 - 112.28,"According to 16 analysts, the average rating for FRT stock is ""Buy."" The 12-month stock price forecast is 102.86, which is a decrease of -8.00% from the latest price."
fdx,April 27,$287.51,$275.76,11.75,4.26%,286.56,284.33 - 292.20,"4,580,597",102.12 - 304.18,"According to 29 analysts, the average rating for FedEx stock is ""Buy."" The 12-month stock price forecast is 328.52, which is an increase of 14.26% from the latest price."
fis,April 27,$152.81,$153.84,-1.03,-0.67%,154.22,151.92 - 154.22,"2,654,454",119.56 - 155.57,"According to 36 analysts, the average rating for FIS stock is ""Buy."" The 12-month stock price forecast is 162.42, which is an increase of 6.29% from the latest price."
fitb,April 27,$39.25,$38.78,0.47,1.21%,38.80,38.75 - 39.30,"3,968,448",14.24 - 40.17,"According to 23 analysts, the average rating for FITB stock is ""Buy."" The 12-month stock price forecast is 42.58, which is an increase of 8.48% from the latest price."
fe,April 27,$36.87,$36.69,0.18,0.49%,36.76,36.60 - 37.14,"3,890,685",21.97 - 42.41,"According to 17 analysts, the average rating for FirstEnergy stock is ""Buy."" The 12-month stock price forecast is 38.57, which is an increase of 4.61% from the latest price."
frc,April 27,$181.75,$180.91,0.84,0.46%,181.46,179.71 - 182.38,"492,388",91.59 - 182.38,
fisv,April 27,$121.66,$126.55,-4.89,-3.86%,124.85,121.23 - 125.46,"7,930,778",92.15 - 127.34,"According to 36 analysts, the average rating for Fiserv stock is ""Buy."" The 12-month stock price forecast is 138.04, which is an increase of 13.46% from the latest price."
flt,April 27,$289.78,$291.14,-1.36,-0.47%,290.98,288.39 - 291.63,"247,192",206.60 - 295.17,"According to 21 analysts, the average rating for FLT stock is ""Buy."" The 12-month stock price forecast is 305.06, which is an increase of 5.27% from the latest price."
flir,April 27,$59.69,$59.42,0.27,0.45%,59.31,59.30 - 59.84,"957,574",33.14 - 59.84,"According to 8 analysts, the average rating for FLIR Systems stock is ""Hold."" The 12-month stock price forecast is 53.14, which is a decrease of -10.97% from the latest price."
fmc,April 27,$118.67,$117.68,0.99,0.84%,117.54,117.21 - 119.15,"688,342",84.12 - 123.13,"According to 22 analysts, the average rating for FMC stock is ""Buy."" The 12-month stock price forecast is 132.21, which is an increase of 11.41% from the latest price."
f,April 27,$12.49,$12.27,0.22,1.79%,12.30,12.27 - 12.50,"39,351,676",4.52 - 13.62,
ftnt,April 27,$201.25,$203.90,-2.65,-1.30%,202.83,199.80 - 203.90,"1,098,780",103.76 - 209.39,"According to 30 analysts, the average rating for Fortinet stock is ""Buy."" The 12-month stock price forecast is 190.27, which is a decrease of -5.46% from the latest price."
ftv,April 27,$74.20,$73.68,0.52,0.71%,73.60,73.20 - 74.42,"2,099,672",43.94 - 74.42,"According to 19 analysts, the average rating for Fortive stock is ""Buy."" The 12-month stock price forecast is 76.67, which is an increase of 3.33% from the latest price."
fbhs,April 27,$105.11,$104.88,0.23,0.22%,104.94,104.89 - 106.15,"642,198",46.92 - 106.38,"According to 18 analysts, the average rating for Fortune Brands stock is ""Buy."" The 12-month stock price forecast is 103.17, which is a decrease of -1.85% from the latest price."
foxa,April 27,$38.28,$38.20,0.08,0.21%,38.43,37.87 - 38.58,"4,267,970",23.25 - 44.80,"According to 25 analysts, the average rating for FOXA stock is ""Hold."" The 12-month stock price forecast is 37.86, which is a decrease of -1.10% from the latest price."
fox,April 27,$37.25,$37.07,0.18,0.49%,37.10,36.84 - 37.48,"727,553",23.03 - 42.14,"The average 12-month stock price forecast for FOX is 51.50, which is an increase of 38.26% from the latest price."
ben,April 27,$29.82,$29.83,-0.01,-0.03%,29.82,29.38 - 29.90,"2,029,478",15.66 - 31.32,"According to 15 analysts, the average rating for BEN stock is ""Sell."" The 12-month stock price forecast is 29.38, which is a decrease of -1.48% from the latest price."
fcx,April 27,$38.69,$39.05,-0.36,-0.92%,38.64,38.55 - 39.84,"18,535,705",7.79 - 39.84,
gps,April 27,$34.40,$33.47,0.93,2.78%,33.40,33.37 - 34.82,"3,674,977",6.48 - 34.82,
grmn,April 27,$141.12,$141.65,-0.53,-0.37%,142.19,141.09 - 142.94,"505,247",74.31 - 142.94,"According to 10 analysts, the average rating for Garmin stock is ""Hold."" The 12-month stock price forecast is 139.57, which is a decrease of -1.10% from the latest price."
it,April 27,$198.13,$197.63,0.50,0.25%,197.74,196.75 - 198.48,"386,352",106.57 - 200.37,"According to 9 analysts, the average rating for Gartner stock is ""Buy."" The 12-month stock price forecast is 201.57, which is an increase of 1.74% from the latest price."
gnrc,April 27,$331.75,$330.82,0.93,0.28%,335.13,330.59 - 340.98,"393,115",90.30 - 364.00,"According to 15 analysts, the average rating for GNRC stock is ""Buy."" The 12-month stock price forecast is 389.64, which is an increase of 17.45% from the latest price."
gd,April 27,$185.89,$185.19,0.70,0.38%,185.04,184.19 - 187.01,"1,197,098",118.23 - 188.45,"According to 19 analysts, the average rating for GD stock is ""Buy."" The 12-month stock price forecast is 177.39, which is a decrease of -4.57% from the latest price."
ge,April 27,$13.49,$13.57,-0.08,-0.59%,13.50,12.91 - 13.52,"145,347,497",5.45 - 14.41,
gis,April 27,$60.54,$60.54,0.00,0.00%,60.42,60.14 - 60.75,"3,085,594",53.51 - 64.48,"According to 21 analysts, the average rating for General Mills stock is ""Hold."" The 12-month stock price forecast is 62.66, which is an increase of 3.50% from the latest price."
gm,April 27,$58.97,$58.21,0.76,1.31%,58.30,58.02 - 59.10,"8,666,218",20.12 - 63.44,"According to 18 analysts, the average rating for General Motors stock is ""Buy."" The 12-month stock price forecast is 67.19, which is an increase of 13.94% from the latest price."
gpc,April 27,$123.16,$122.21,0.95,0.78%,122.67,121.59 - 123.35,"875,252",64.97 - 123.35,
gild,April 27,$64.67,$65.76,-1.09,-1.66%,65.94,64.62 - 66.00,"5,816,230",55.77 - 82.16,"According to 32 analysts, the average rating for GILD stock is ""Buy."" The 12-month stock price forecast is 74.96, which is an increase of 15.91% from the latest price."
gl,April 27,$102.70,$102.47,0.23,0.22%,102.05,101.89 - 103.06,"316,701",62.20 - 105.58,"According to 7 analysts, the average rating for Globe Life stock is ""Hold."" The 12-month stock price forecast is 106.83, which is an increase of 4.02% from the latest price."
gpn,April 27,$216.50,$218.36,-1.86,-0.85%,218.21,215.83 - 218.68,"729,996",153.03 - 220.81,"According to 35 analysts, the average rating for GPN stock is ""Buy."" The 12-month stock price forecast is 226.52, which is an increase of 4.63% from the latest price."
gs,April 27,$346.63,$343.52,3.11,0.91%,344.00,343.66 - 347.55,"1,862,864",161.82 - 356.85,"According to 27 analysts, the average rating for Goldman Sachs stock is ""Buy."" The 12-month stock price forecast is 384.53, which is an increase of 10.93% from the latest price."
gww,April 27,$423.32,$419.79,3.53,0.84%,420.00,416.40 - 423.87,"192,307",258.64 - 427.77,"According to 21 analysts, the average rating for W.W. Grainger stock is ""Hold."" The 12-month stock price forecast is 409.47, which is a decrease of -3.27% from the latest price."
hal,April 27,$19.32,$19.43,-0.11,-0.57%,19.40,18.64 - 19.52,"8,398,643",8.95 - 24.74,"According to 29 analysts, the average rating for Halliburton stock is ""Buy."" The 12-month stock price forecast is 22.62, which is an increase of 17.08% from the latest price."
hbi,April 27,$21.16,$20.86,0.30,1.44%,21.00,20.94 - 21.49,"3,756,767",7.35 - 21.49,
hig,April 27,$69.50,$68.69,0.81,1.18%,68.54,68.35 - 69.94,"5,396,969",29.37 - 69.94,"According to 17 analysts, the average rating for HIG stock is ""Buy."" The 12-month stock price forecast is 73.85, which is an increase of 6.26% from the latest price."
hca,April 27,$198.96,$200.56,-1.60,-0.80%,200.85,197.41 - 201.03,"1,809,924",90.83 - 205.58,"According to 23 analysts, the average rating for HCA Healthcare stock is ""Buy."" The 12-month stock price forecast is 218.37, which is an increase of 9.76% from the latest price."
peak,April 27,$33.92,$34.17,-0.25,-0.73%,34.19,33.89 - 34.20,"1,688,442",19.84 - 34.49,"According to 21 analysts, the average rating for PEAK stock is ""Buy."" The 12-month stock price forecast is 32.78, which is a decrease of -3.36% from the latest price."
hsic,April 27,$73.14,$73.38,-0.24,-0.33%,72.82,71.79 - 73.67,"721,062",49.83 - 74.89,"According to 17 analysts, the average rating for Henry Schein stock is ""Buy."" The 12-month stock price forecast is 73.21, which is an increase of 0.10% from the latest price."
hsy,April 27,$158.71,$159.03,-0.32,-0.20%,159.09,157.94 - 159.56,"1,063,097",123.49 - 163.99,"According to 19 analysts, the average rating for Hershey stock is ""Hold."" The 12-month stock price forecast is 165.24, which is an increase of 4.11% from the latest price."
hes,April 27,$70.45,$68.15,2.30,3.37%,68.57,68.56 - 70.83,"1,984,393",34.55 - 75.97,"According to 25 analysts, the average rating for HES stock is ""Buy."" The 12-month stock price forecast is 80.96, which is an increase of 14.92% from the latest price."
hpe,April 27,$16.20,$16.23,-0.03,-0.18%,16.28,16.09 - 16.33,"9,498,555",8.14 - 16.60,
hlt,April 27,$130.01,$127.57,2.44,1.91%,127.72,127.59 - 130.35,"1,712,924",62.47 - 130.35,
hfc,April 27,$34.59,$34.38,0.21,0.61%,34.39,34.01 - 34.77,"1,193,700",16.40 - 42.39,
holx,April 27,$72.85,$74.08,-1.23,-1.66%,74.07,72.80 - 74.43,"2,446,065",48.39 - 85.00,
hd,April 27,$320.59,$319.99,0.60,0.19%,320.50,320.50 - 322.47,"2,433,839",210.34 - 328.83,"According to 33 analysts, the average rating for Home Depot stock is ""Buy."" The 12-month stock price forecast is 310.72, which is a decrease of -3.08% from the latest price."
hon,April 27,$222.93,$221.52,1.41,0.64%,221.89,221.11 - 223.75,"2,289,531",115.40 - 232.35,"According to 24 analysts, the average rating for Honeywell stock is ""Buy."" The 12-month stock price forecast is 234.04, which is an increase of 4.98% from the latest price."
hrl,April 27,$46.16,$46.00,0.16,0.35%,45.91,45.91 - 46.33,"1,993,529",43.22 - 52.17,"According to 13 analysts, the average rating for Hormel Foods stock is ""Hold."" The 12-month stock price forecast is 45.75, which is a decrease of -0.89% from the latest price."
hst,April 27,$17.95,$17.43,0.52,2.98%,17.32,17.27 - 17.98,"7,548,410",9.06 - 18.45,
hwm,April 27,$32.03,$32.22,-0.19,-0.59%,32.39,31.81 - 32.45,"1,615,300",9.87 - 33.42,"According to 9 analysts, the average rating for HWM stock is ""Buy."" The 12-month stock price forecast is 37.43, which is an increase of 16.86% from the latest price."
hpq,April 27,$34.43,$34.33,0.10,0.29%,34.38,34.28 - 34.70,"5,624,653",13.07 - 34.85,"According to 18 analysts, the average rating for HP Inc stock is ""Hold."" The 12-month stock price forecast is 31.16, which is a decrease of -9.50% from the latest price."
hum,April 27,$448.80,$446.14,2.66,0.60%,443.12,441.25 - 450.25,"760,559",362.44 - 473.19,"According to 24 analysts, the average rating for Humana stock is ""Buy."" The 12-month stock price forecast is 479.48, which is an increase of 6.84% from the latest price."
hban,April 27,$15.20,$15.20,0.00,0.00%,15.21,15.03 - 15.33,"14,412,597",6.63 - 16.91,"According to 19 analysts, the average rating for HBAN stock is ""Buy."" The 12-month stock price forecast is 17.14, which is an increase of 12.76% from the latest price."
hii,April 27,$207.45,$206.97,0.48,0.23%,206.75,206.46 - 209.16,"376,041",134.71 - 210.74,"According to 12 analysts, the average rating for HII stock is ""Buy."" The 12-month stock price forecast is 202.73, which is a decrease of -2.28% from the latest price."
iex,April 27,$226.19,$225.44,0.75,0.33%,224.79,224.36 - 227.18,"296,932",140.71 - 228.06,"According to 16 analysts, the average rating for IEX stock is ""Buy."" The 12-month stock price forecast is 216.92, which is a decrease of -4.10% from the latest price."
idxx,April 27,$557.54,$558.42,-0.88,-0.16%,556.85,552.56 - 559.67,"209,411",265.04 - 573.99,"According to 9 analysts, the average rating for IDXX stock is ""Buy."" The 12-month stock price forecast is 565.83, which is an increase of 1.49% from the latest price."
info,April 27,$106.07,$105.86,0.21,0.20%,106.25,105.20 - 106.54,"1,899,552",63.11 - 107.37,"According to 10 analysts, the average rating for IHS Markit stock is ""Buy."" The 12-month stock price forecast is 112.38, which is an increase of 5.95% from the latest price."
itw,April 27,$229.36,$227.70,1.66,0.73%,227.65,226.58 - 229.61,"1,005,556",145.28 - 230.69,"According to 21 analysts, the average rating for ITW stock is ""Hold."" The 12-month stock price forecast is 224.69, which is a decrease of -2.04% from the latest price."
ilmn,April 27,$413.55,$420.76,-7.21,-1.71%,417.19,413.55 - 422.68,"765,842",260.42 - 555.77,"According to 18 analysts, the average rating for Illumina stock is ""Hold."" The 12-month stock price forecast is 404.31, which is a decrease of -2.23% from the latest price."
incy,April 27,$84.63,$85.61,-0.98,-1.14%,86.03,84.39 - 86.34,"505,693",75.52 - 110.37,
ir,April 27,$51.21,$51.23,-0.02,-0.04%,51.46,50.65 - 51.47,"1,330,041",24.81 - 52.11,
intc,April 27,$57.97,$58.76,-0.79,-1.34%,58.51,57.77 - 58.63,"29,591,462",43.03 - 68.49,"According to 40 analysts, the average rating for Intel stock is ""Hold."" The 12-month stock price forecast is 65.62, which is an increase of 13.20% from the latest price."
ice,April 27,$121.23,$120.86,0.37,0.31%,120.68,120.26 - 121.39,"1,662,427",86.48 - 121.97,"According to 22 analysts, the average rating for ICE stock is ""Buy."" The 12-month stock price forecast is 134.41, which is an increase of 10.87% from the latest price."
