id,internationalSecNumber,symbol,marketCap,sharesOutstanding,sector,subSector,companyName,marketClassification,dateListed,dateOfIncorporation,website,natureofBusiness,companyAddress,telephone,fax,email,companySecretary,auditor,registrars,boardOfDirectors
61,NGGUARANTY06,GUARANTY,,29431179224.0,FINANCIAL SERVICES,Banking,GUARANTY TRUST BANK PLC.,Main Board,,1990-07-20T00:00:00,www.gtbank.com,Commercial Banking ,"Plot 635, Akin Adesola Street, Victoria Island, Lagos",014480740,012793341,erhi.obebeduo@gtbank.com,"Erhi Obebeduo, OLutola Omotola",PricewaterhouseCoopers,Datamax Registrars Limited,"HARUNA MUSA , MR. ADEBAYO ADEOLA , Mr. Babajide Gregory Okuntola  , MR. DEMOLA ODEYEMI , MR. IBRAHIM HASSAN , Mr. Mobolaji Jubril Lawal , MR. OLABODE AGUSTO , MR. OLUSEGUN AGBAJE , Mr. Olusola Hezekiah Oyinlola , Mrs. Miriam Chidiebele Olusanya  , MRS. OSARETIN AFUSAT DEMUREN , Mrs. Victoria Osondu Adefala  , Ms. Imoni Lolia Akpofure "
62,NGGUINEAINS0,GUINEAINS,,6140000000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",GUINEA INSURANCE PLC.,Main Board,,1958-12-03T00:00:00,,Insurance: Special Risks and General Insurance Business ,,,,,DCSL  Corporate Services,BDO PROFESSIONAL SERVICES,Cardinal Stone (Registrars) Limited ,"Chidoka Osita, Mohammed Attahir, Samuel Onukwue"
63,NGGUINNESS07,GUINNESS,,2190382819.0,CONSUMER GOODS,Beverages--Brewers/Distillers,GUINNESS NIG PLC,Main Board,1965-01-02T00:00:00,1950-04-29T00:00:00,www.guinness-nigeria.com,"Brewing, packaging, marketing & selling of stout, malta guinness, larger, International Premium spirit and Mainstream Spirit (TBA)",24 OBA AKRAN AVENUE IKEJA LAGOS,23412709100,23412709338,cosecgn@diageo.com,ROTIMI ODUSOLA,PRICEWATERHOUSECOOPERS,VERITAS REGISTRARS LIMITED,
64,NGHONYFLOUR7,HONYFLOUR,,7930197658.0,CONSUMER GOODS,Food Products,HONEYWELL FLOUR MILL PLC,Main Board,2009-10-20T00:00:00,1985-07-09T00:00:00,www.honeywellflour.com,"Manufacturing and Marketing of wheat based products including flour, semolina, whole wheat meal, noodles and pasta","2nd GATE BYE-PASS, TIN CAN ISLAND, APAPA, LAGOS",08080945364,,info@honeywellflour.com,MRS. OLUWAYEMISI BUSARI,BAKER TILLY NIGERIA,FIRST REGISTRARS &amp; INVESTOR SERVICES LIMITED,
65,NGIKEJAHOTL7,IKEJAHOTEL,,2078796399.0,SERVICES,Hotels/Lodging,IKEJA HOTEL PLC,Main Board,2007-09-06T00:00:00,1972-11-18T00:00:00,www.ikejahotelplc.com,Operation of Hotel and Provision of Catering,"84, Opebi Road, Ikeja, Lagos",012701060,,info@ikehotelplc.com,Punuka Nominees Limited,"Ahmed Zakari &amp; Co, Ugochukwu, Ike &amp; Co",Greenwich Registrars &amp; Data Solutions Ltd,
66,NGINFINITY01,INFINITY,,4170455720.0,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",INFINITY TRUST MORTGAGE BANK PLC,Main Board,2013-12-11T00:00:00,2002-11-28T00:00:00,www.infinitytrustmortgagebank.com,Mortgage Financing,11 Kaura Namoda Street  Off Faskari Crescent Area 3 Abuja,09087121716,09087121716,info@itmplc.com,Mrs Tolulope Osho,"Aminu Ibrahim and Co, Lanre Abidakun and Co",African Prudential Registrars PLC ,
67,NGINTERLINK3,INTERLINK,,236699521.0,SERVICES,Specialty,INTERLINKED TECHNOLOGIES PLC,Main Board,1993-11-13T00:00:00,1981-11-17T00:00:00,www.interlinkedplc.com,"Developing, Manufacturing and Marketing of Polymeric, Metallic and Porcelain Products","50B, Oladipo Bateye Street, Ikeja GRA, Lagos.",2955585,+234(01)2955014,info@interlinkedplc.com,Chinwe Mbanefo (Inco Services limited),Alatta Nzewi Oyeka&amp;Co(Chatered Accountant),,
68,NGINTBREW005,INTBREW,,26862068550.0,CONSUMER GOODS,Beverages--Brewers/Distillers,INTERNATIONAL BREWERIES PLC.,Main Board,,1971-12-22T00:00:00,www.internationalbreweriesplc.com,"Brewing, Packaging and Marketing of alcoholic and non-alcoholic beverages","Desiderata Building Plot 5A Abuja Street, Banana Island, Ikoyi-Lagos",08129130398,,international.breweries@ng.sabmiller.com,Mr. Muyiwa Ayojimi,"Baker Tilly Nigeria, PriceWaterCoopers",Apel Capital Registrars Limited,Andrew Whiting
69,NGINTENEGIN5,INTENEGINS,,1284085489.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",INTERNATIONAL ENERGY INSURANCE PLC,Main Board,2007-07-13T00:00:00,1969-03-26T00:00:00,www.ieiplc.com,General Insurance Business ,"Plot 294 Jide Oki Street, Victoria Island, Lagos",23412806990,23412705770,info@ieiplc.com,Paul Ekpenisi,BDO Professional Services,"PAC Registrars Ltd, PAC Registrars Ltd",
70,NGJAIZBANK05,JAIZBANK,,29464249300.0,FINANCIAL SERVICES,Banking,JAIZ BANK PLC,Main Board,,2003-04-01T00:00:00,www.jaizbankplc.com,BANKING,"Kano House, Plot 73, Ralph Shodeinde Street, Central Business District, Abuja- FCT",2347080635500,,info@jaizbankplc.com,Mrs. Rukayat O. Salaudeen,Ahmed Zakari &amp;co,Africa Prudential Plc,
71,NGJAPAULOIL4,JAPAULGOLD,,6262701716.0,OIL AND GAS,Energy Equipment and Services,JAPAUL GOLD & VENTURES PLC,Main Board,2005-08-10T00:00:00,1994-06-29T00:00:00,www.japaulgroup.com,"Rendering Maritime Services, Oil and Gas Service, Dredging, Quarry, Transportation, Engineering and Construction","Japaul House, Plot 8, Dr Nurudeen Olowopopo Avevnue, Central Business District, Agidingbi, Ikeja, Lagos",+23418839642,,info@japaulgroup.com,Michael Edeko,PKF Professional Services,Sterling Registrars Ltd,
72,NGJOHNHOLT05,JOHNHOLT,,389151412.0,CONGLOMERATES,Diversified Industries,JOHN HOLT PLC.,Main Board,,1961-08-28T00:00:00,www.jhplc.com,"Sale, Leasing and servicing of Power Equipmentand Motor vehicles and the Distribution of Consumer and other Products","Plot 1609 Adeola Hopewell Street,Victoria Island Lagos",2709283,,nanaedu@jhplc.com,"Mrs. Ada Nwocha, Mrs. Ada Nwocha",BDO Professional Services,Union Registrars Limited,
73,NGJULI000003,JULI,,199905004.0,SERVICES,Food/Drug Retailers and Wholes,JULI PLC.,ASeM,1986-07-11T00:00:00,1972-09-14T00:00:00,www.juliplc.ng, Retail of Pharmaceutical s and Running of Supermarket and Laboratory Services,"19, Kodesoh Street, Ikeja, LAgos State",09090550989,,info@juliplc.ng,Olalekan Yusuf &amp; co (Legal Practitioners &amp; Notary Public),Babayemi Osho &amp; Co,First Registrars Nigeria Limited,
74,NGJBERGER009,JBERGER,,1584000000.0,CONSTRUCTION/REAL ESTATE,Infrastructure/Heavy Construct,JULIUS BERGER NIG. PLC.,Main Board,,1970-02-18T00:00:00,www.julius-berger.com,"Planning, Design and Construction of Civil Engineering and Building works","10, Shettima A. Munguno Crescent",08039067000,096114042,info@julius-berger.com,Cecilia Ekanem Madueke (Mrs),Nexia Agbo Abel &amp; Co      ,Greenwich Registrars &amp; Data Solutions Ltd.,
75,NGWAPCO00002,WAPCO,,16107795496.0,INDUSTRIAL GOODS,Building Materials,LAFARGE AFRICA PLC.,Premium Board,1979-02-17T00:00:00,1959-02-24T00:00:00,www.lafarge.com.ng,Manufacturing and Marketing of Cement and other Building Materials,"27B GERRARD ROAD, IKOYI",2342713990,2342714614,adewunmi.alode@lafargeholcim.com,"Mrs. Adewunmi Alode, Uzoma UJA","AKINTOLA WILLIAMS DELLOITE, KPMG PROFESSIONAL SERVICES",CARDINAL STONE REGISTRARS LIMITED,
76,NGWAPCO00002,WAPCO,,16107795496.0,INDUSTRIAL GOODS,Building Materials,LAFARGE AFRICA PLC.,Premium Board,1979-02-17T00:00:00,1959-02-24T00:00:00,www.lafarge.com.ng,Manufacturing and Marketing of Cement and other Building Materials,"27B, Gerrard Road, Ikoyi, Lagos ",2342713990,2342714614,adewunmi.alode@lafargeholcim.com,"Mrs. Adewunmi Alode, Uzoma UJA","AKINTOLA WILLIAMS DELLOITE, KPMG PROFESSIONAL SERVICES",CARDINAL STONE REGISTRARS LIMITED,
77,NGLASACO0002,LASACO,,1833585855.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",LASACO ASSURANCE PLC.,Main Board,,1979-12-20T00:00:00,www.lasacoassurance.com,All Classes of Insurance Business,"Plot 16, Ame Road Ogba Ikeja Lagos",2120557,,info@lasacoassurance.com,OLUTEKUNBI GERTRUDE KELECHI,BDO Professional Services,"APEL CAPITAL &amp; TRUST  LIMITED, APEL CAPITAL &amp; TRUST  LIMITED",
78,NGLONGMAN007,LEARNAFRCA,,771450000.0,SERVICES,Printing/Publishing,LEARN AFRICA PLC,Main Board,,1961-10-08T00:00:00,www.learnafricaplc.com,"Publishing, Distributing and Marketing of high Quality Educational, Professional, Reference and General Books",FELIX IWEREBON HOUSE,23408055844008,,info@learnafricaplc.com,DCSL Corporate Services Limited (Company Secretary),ERNST &amp; YOUNG (CHARTERED ACCOUNTANT),FIRST REGISTRARS AND INVESTORS SERVICE LIMITED,"ALHAJI HASSAN BALA , CHIEF EMEKE IWEREBON  , HAJIA BINTA BAKARI , MRS CORDELIA OJEILE , MRS YETUNDE AINA "
79,NGLINKASSUR7,LINKASSURE,,9999999994.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",LINKAGE ASSURANCE PLC,Main Board,2003-11-18T00:00:00,1991-03-26T00:00:00,www.linkageassurance.com,Non-life Insurance Business ,Plot 20 Block 94 Providence Street off Adewunmi Adebimpe street Lekki Phase 1,08068555625,,momorogbe@linkageassurance.com,MOSES OMOROGBE,KPMG Professional Services,Centurion Registrars Limited,
80,NGLINKASSUR7,LINKASSURE,,9999999994.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",LINKAGE ASSURANCE PLC,Main Board,2003-11-18T00:00:00,1991-03-26T00:00:00,www.linkageassurance.com,Non-life Insurance Business ,"Plot 20, Block 94, Providence Street, Lekki Phase 1, Lagos",07054492984,,info@linkageassurance.com,MOSES OMOROGBE,KPMG Professional Services,Centurion Registrars Limited,
81,NGLIVESTOCK5,LIVESTOCK,,2999999418.0,AGRICULTURE,Livestock/Animal Specialties,LIVESTOCK FEEDS PLC.,Main Board,1978-04-01T00:00:00,1963-03-20T00:00:00,www.livestockfeedsplc.com,Manufacturing and Marketing of Animal Feeds and Concentrates,"1,Henry Carr Street Ikeja Lagos  Nigeria",017413668,,info@livestockfeedsplc.com,OLOWONONI Olumolawa Winifred,BDO Professional Services(Charted Accountants),"City Securites (Registrars)Limited, City Securites (Registrars)Limited",
82,NGOMOMORBNK6,LIVINGTRUST,,5000000000.0,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",LIVINGTRUST MORTGAGE BANK PLC,Growth Board,,1999-03-09T00:00:00,www.livingtrustng.com,MORTGAGE BANKING,"LivingTrust Mortgage Bank Plc. Old Governor Office, Gbongon-Osogbo Road, Osogbo, Osun State.",+2347053757863,,info@livingtrustng.com,OLABISI FAYOMBO c/o Grace and Honey Solicitors,PKF PROFESSIONAL SERVICES,African Prudential Registrars,
83,NGMAYBAKER01,MAYBAKER,,1725234886.0,HEALTHCARE,Pharmaceuticals,MAY & BAKER NIGERIA PLC.,Main Board,1994-11-10T00:00:00,1944-04-09T00:00:00,www.may-baker.com,Manufacturing and Distribution of Pharmaceutical and Consumer goods,"3/5 Sapara Street, Industrial Estate, Ikeja, Lagos",2348032833764,,Financials@may-baker.com,,PKF Professional Services,Veritas Registrars Limited,
84,NGMCNICHOLS7,MCNICHOLS,,326700000.0,CONSUMER GOODS,Food Products,MCNICHOLS PLC,Growth Board,2009-12-18T00:00:00,2004-04-26T00:00:00,www.mcnicholsplc.com,Processing and Packaging of Food and Beverage Products,"7, Jeminat Laalu Street Arepo Near Journalist Estate KM 32 Lagos-Ibadan Expressway Ogun State",08150475075,,mcnicholsinvestors@yahoo.com,S E NOMUOJA &amp; Co,Abraham Shalom &amp; Co   Chartered Accountants,United Securities Limited,"Chimaraoke Ekpe , Nneka Briggs , Olusegun Layode , Onyebuchi Agubesi , Ozurumba Afigbo , VICTOR IYOWUNA BRIGGS       ALTERNATE DIRECTOR"
85,NGMEDVIEW007,MEDVIEWAIR,,9750649400.0,SERVICES,Airlines,MEDVIEW AIRLINE PLC,Main Board,,2004-08-11T00:00:00,www.medviewairline.com,AIRLINE SERVICES,"21, OLOWU STREET, IKEJA, LAGOS",07082543952 ,,info@medviewairline.com,ABDULLAHI ADAM AL-ILORY ESQ.,OLUFEMI FAJUYI &amp; CO,AFRICA PRUDENTIAL REGISTRARS PLC,
86,NGMEYER00006,MEYER,,531237723.0,INDUSTRIAL GOODS,Building Materials,MEYER PLC.,Main Board,,1960-05-20T00:00:00,www.meyerpaints.com,"Manufacturing and Marketing of Premium paints, and Allied Products","No. 32, Billings Way, Oregun, Lagos State",08123438237,,info@meyerpaints.com,"Jane Ijegbulem, KALU O. KALU (MARRIOT SOLICITORS), MRS. IFETOLA FADEYIBI",BDO Professional Services (Chartered Accountants),GREENWICH REGISTRARS &amp; DATA SOLUTIONS LTD,
87,NGMORISON000,MORISON,,989161875.0,HEALTHCARE,Medical Supplies,MORISON INDUSTRIES PLC.,Main Board,,1955-06-29T00:00:00,www.morisonplc.ng,"Production and Marketing of Pharmaceuticals, Hygiene Production ",28/30 MORISON CRESCENT OREGUN INDUSTRIAL AREA IKEJA,08118680526,,miplc@morisonplc.ng,Agbetu Abosede Titilope,BDO PROFESSIONAL SERVICES,Cardinalstone Registrar Limited,
88,NGCHEVRON008,MRS,,304786407.0,OIL AND GAS,Petroleum and Petroleum Produc,MRS OIL NIGERIA PLC.,Main Board,,1969-08-12T00:00:00,www.mrsoilnigeriaplc.net,"Marketing and Distribution of Refined petroleum Products, Blending of Lubricants, and Manufacturing of Greases",MRS OIL NIGERIA PLC,08145664158,,rnze-ekpebie@mrsholdings.com,MRS. O.M. JAFOJO,KPMG Professional Services,"CARDINALSTONE REGISTRARS LIMITED, FIRST REGISTRARS &amp; INVESTOR SERVICES LIMITED",
89,NGMTNN000002,MTNN,,20354513050.0,ICT,Telecommunications Services,MTN NIGERIA COMMUNICATIONS PLC,Premium Board,2019-05-16T00:00:00,2000-11-08T00:00:00,,Telecommunication Services,,,,,Mrs. Uto Ukpanah,Ernst &amp; Young,United Securities Limited,"Dr. Ernest Ndukwe, OFR , Dr. Omobola Johnson , Mr. Abubakar B. Mahmoud SAN, OON , Mr. Andrew Alli , Mr. Jens Schulte-Bockum , Mr. Michael Ajukwu , Mr. Modupe Kadri , Mr. Muhammad K. Ahmad, OON , Mr. Paul Norman , Mr. Ralph Mupita , Mr. Rhidwaan Gasant , Mrs. Ifueko M. Omoigui Okauru, MFR "
90,NGMULTITREX0,MULTITREX,,3722493620.0,CONSUMER GOODS,Food Products,MULTI-TREX INTEGRATED FOODS PLC,Main Board,2010-11-01T00:00:00,1999-10-30T00:00:00,,"Cocoa butter export, cocoa cake export, producing cocoa powder for local consumption, instant chocolate dry-mix and chocolate drink",,,,,Olaniyan &amp; Akindele (Legal Practitioners),,,
91,NGMULTIVERS6,MULTIVERSE,,4261938686.0,NATURAL RESOURCES,Mining Services,MULTIVERSE MINING AND EXPLORATION PLC,Main Board,2008-04-18T00:00:00,2002-06-20T00:00:00,www.multiverseplc.com,"Quarrying and Mining of Precious Stones.e.g.Lead Ore,Barite,Copper, Zinc. etc., ","262A, Corporation Drive, Dolphine Estate, Ikoyi, Lagos",012131828,012131828,info@multiverseplc.com,Equity Union Limited,Sola Oyetayo &amp; Co,,
92,NGMBENEFT000,MBENEFIT,,11172733508.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",MUTUAL BENEFITS ASSURANCE PLC.,Main Board,2002-05-28T00:00:00,1995-04-18T00:00:00,www.mutualngcom,General Insurance and Life Business ,"ARET ADAMS HOUSE,233, IKORODU ROAD,ILUPEJU,LAGOS","08191471029, ",,info@mutualng.com,ABDULAI TAIWO &amp; CO,BDO PROFESSIONAL SERVICES(CHARTERED ACCOUNTANT),MERISTEM REGISTRARS LIMITED,FEMI ASENUGA
93,NGNNFM000008,NNFM,,178200000.0,CONSUMER GOODS,Food Products,N NIG. FLOUR MILLS PLC.,Main Board,,1971-10-29T00:00:00,,Flour Milling ,,,,,,,,
94,NGNASCON0005,NASCON,,2649438378.0,CONSUMER GOODS,Food Products,NASCON ALLIED INDUSTRIES PLC,Main Board,1992-10-20T00:00:00,1973-04-30T00:00:00,,Processing of Raw  Salt into Edible Salt and importation of Tomato Paste,,,,,,Akintola Williams Deloitte,,
95,NGNCR0000008,NCR,,108000000.0,ICT,IT Services,NCR (NIGERIA) PLC.,Main Board,,1949-12-09T00:00:00,,Sales and Service of Information Technology Solutions and the Sale of Computer Consumables,"ST NICHOLAS HOUSE (10TH FLOOR) CATHOLIC MISSION STREET, LAGOS ISLAND LAGOS",14622307,,ALSECLawyers@uubo.org,ALSEC NOMINEES LIMITED, Ernst &amp; Young,Apel Capital &amp; Trust Limited,
96,NGNCR0000008,NCR,,108000000.0,ICT,IT Services,NCR (NIGERIA) PLC.,Main Board,,1949-12-09T00:00:00,www.ncr.com,Sales and Service of Information Technology Solutions and the Sale of Computer Consumables,"6, Broad Street",2793970,,info@ncr.com.ng,ALSEC NOMINEES LIMITED, Ernst &amp; Young,Apel Capital &amp; Trust Limited,
97,NGNEIMETH001,NEIMETH,,1899157108.0,HEALTHCARE,Pharmaceuticals,NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,Main Board,1979-09-21T00:00:00,1957-08-13T00:00:00,www.neimethplc.com.ng,"Manufacturing & Marketing of Pharmaceuticals, Animal Health Products and general healthcare products.","1, Henry Carr Street, Ikeja Industrial Estate,Ikeja,Lagos.",08033128663,,info@neimethplc.com.ng,"Mrs F. I. Onyenekwe, Mrs. Florence I. Onyenekwe","PKF Professional Services, PKF Professional Services","Meristem Registrars and Probate Services Ltd, Meristem Registrars Limited",
98,NGNEIMETH001,NEIMETH,,1899157108.0,HEALTHCARE,Pharmaceuticals,NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,Main Board,1979-09-21T00:00:00,1957-08-13T00:00:00,www.neimethplc.com.ng,"Manufacturing & Marketing of Pharmaceuticals, Animal Health Products and general healthcare products.","16, Doherty Akanni Layout (Billings Way), Oregun Industrial Estate, Oregun",08033128663,,info@neimethplc.com.ng,"Mrs F. I. Onyenekwe, Mrs. Florence I. Onyenekwe","PKF Professional Services, PKF Professional Services","Meristem Registrars and Probate Services Ltd, Meristem Registrars Limited",
99,NGNEM0000005,NEM,,10032955535.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",NEM INSURANCE PLC,Main Board,1990-09-05T00:00:00,1970-04-02T00:00:00,,General Insurance Business ,,,,,,,,
100,NGNESTLE0006,NESTLE,,792656252.0,CONSUMER GOODS,Food Products--Diversified,NESTLE NIGERIA PLC.,Main Board,1979-04-20T00:00:00,1969-09-25T00:00:00,www.nestle-cwa.com/en/investors/nigeria,"Manufacturing, Marketing and Distribution of food Products.","22-24 Industrial Avenue, Ilupeju, Lagos",23414607600,0292002173F4KD5E5347,Shareholders.Enquiries@ng.nestle.com,"Mr. Bode Ayeku, FCIS",Akintola Williams Deloitte,"GTL Registrars Limited, GTL Registrars Limited",
101,NGNIGERINS04,NIGERINS,,7739479368.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",NIGER INSURANCE PLC,Main Board,,1962-08-29T00:00:00,www.nigerinsurance.com,Life and General Insurance Business ,"Niger Insurance Plaza,48/50,odunlami street,Lagos",018720344  ,01-263231,info@nigerinsurance.com,TOLG NOMINEES,SIAO,MERISTEM REGISTRARS AND PROBATES SERVICES LTD,
102,NGNESF000003,NESF,,745950.0,FINANCIAL SERVICES,Other Financial Institutions,NIGERIA ENERYGY SECTOR FUND,Real Estate Investment Trust & Close End Fund,1999-06-18T00:00:00,1998-10-26T00:00:00,,Closed-end fund focused on the Energy Sector,,,,,,,,
103,NGNIGGERMAN3,NIG-GERMAN,,153786012.0,HEALTHCARE,Pharmaceuticals,NIGERIA-GERMAN CHEMICALS PLC.,Main Board,,1964-01-10T00:00:00,,"Manufacturing, Marketing/Sales & Distribution of Pharmaceutical health products, household consumer products and oilfield chemical.",,,,,,,,
104,NGNAHCO00008,NAHCO,,1624218750.0,SERVICES,Transport-Related Services,NIGERIAN AVIATION HANDLING COMPANY PLC,Main Board,2006-11-27T00:00:00,2005-04-08T00:00:00,www.nahcoaviance.com,"Provision of Aircraft, Passenger and Cargo Handling Services and Other related Services to Airline Operators","nahco aviance House, Murtala Muhammed Airport, Ikeja, Lagos",7306875,,info@nahcoaviance.com,,Horwath Dafinone Chartered Accountants,,
105,NGNB00000005,NB,,7996902051.0,CONSUMER GOODS,Beverages--Brewers/Distillers,NIGERIAN BREW. PLC.,Main Board,1973-09-05T00:00:00,1946-11-16T00:00:00,www.nbplc.com,"Brewing and Marketing of Lager Beer, Stout and Non-Alcoholic","Legal Department, Iganmu House, Abebe Village Road, Iganmu, Lagos",012717400,012717424,info@nbplc.com,Uaboi G. AGBEBAKU,Deloitte &amp; Touche,First Registrars and Investor Services Limited,
106,NGENAMELWA03,ENAMELWA,,76032000.0,CONSUMER GOODS,Household Durables,NIGERIAN ENAMELWARE PLC.,Main Board,,1960-05-21T00:00:00,wempco@wempco.com,Manufacturing and Marketing of Enamelware and Plastic Products,"18 Wempco Road, Ogba - Ikeja Lagos",08033377285,"4920257, 4920253",accounting@wempco.com,Bamofin Olatokunbo Sanni,Akintola Williams Deloitte,"GTL Rgistrars, Union Registrars","AaRE HADJI TOKUNBO ALLI , ALHAJI CHIEF M. A. OLA YUSUF , MR KAY FUNG TUNG , MR LEWIS TUNG , MR PAUL TUNG , MR PHILLIP TUNG "
107,NGNOTORE0002,NOTORE,,1612066200.0,INDUSTRIAL GOODS,AGRO-ALLIED & CHEMICALS,NOTORE CHEMICAL IND PLC,Main Board,2018-08-02T00:00:00,2005-11-30T00:00:00,www.notore.com,Agro-allied and chemical,"Notore Industrial Complex, Onne, Rivers State, Nigeria",09087794763,,info@notore.com,Mrs. Otivbo Saleh,PricewaterhouseCoopers,DataMax Registrars Limited,
108,NGNPFMCRFBK0,NPFMCRFBK,,2286637766.0,FINANCIAL SERVICES,Micro-Finance Banks,NPF MICROFINANCE BANK PLC,Main Board,2010-12-01T00:00:00,1993-05-19T00:00:00,www.npfmicrofinancebank.com,Microfinance Bank,"Aliyu Atta House, 1, Ikoyi Road, Obalende",07029903151,,info@npfmicrofinancebank.com,Mrs. Osaro Josephine Idemudia,KPMG Professional Services,CARDINALSTONE REGISTRARS LTD,
109,NGOANDO00002,OANDO,,12431412481.0,OIL AND GAS,Integrated Oil and Gas Service,OANDO PLC,Main Board,1992-02-24T00:00:00,1969-08-25T00:00:00,www.oandoplc.com,"Exploration and Production and Energy Services. Gas and Power,Marketing, Supply and Trading and Refinning and Terminal","The Wings Office Complex, 17a Ozumba Mbadiwe Avenue,Victoria Island, Lagos",2702400,,info@oandoplc.com,Ms Ayotola Jagun,EYNIGERIA,First Registrars Nigeria Limited ,
110,NGOKOMUOIL00,OKOMUOIL,,953910000.0,AGRICULTURE,Crop Production,OKOMU OIL PALM PLC.,Main Board,1997-09-09T00:00:00,1979-12-03T00:00:00,www.okomunigeria.com,"Development of Oil and Rubber Plantations. Palm oil Milling, Palm Kernel Processing and Sale of Wet Cup Lumps","The Okomu Oil Palm Company Plc, Okomu-Udo, Ovia South West L.G.A Edo State, Nigeria",+2348057930488,,compsec@okomunigeria.com,P C Obi &amp; Co represented by Chibuike Odim Onwusoro,Crowe Dafinone,Cardinastone (Registrars) Limited,
111,NGOMATEX0001,OMATEK,,2941789472.0,ICT,Computers and Peripherals,OMATEK VENTURES PLC,Main Board,,1998-07-06T00:00:00,http//www.omatek.ng,"Assembling, Sales and Manitenance of Computers, Inverters and Solar Power Products","Head OFFICE: 11, Kudirat Abiola Road, (formerly Oregun Road) Ikeja, Lagos Nigeria.",+2348033081736,,yemi.ogundipe@omatekcomputers.com,,Olaolu Olabintan &amp; Co (Chartered Accountants),Carnation Registrars Limited,
112,NGPZ00000005,PZ,,3970477045.0,CONSUMER GOODS,Personal/Household Products,P Z CUSSONS NIGERIA PLC.,Main Board,,1948-04-12T00:00:00,https://www.pzcussons.com/nigeria/,"Manufacture and Distribution of Personal Care, Home Care and Electricals ","45/47, Town Planning way Ilupeju",+234012717153,01-2702876,jacqueline.ezeokwelume@pzcussons.com,Mrs Jaqueline Ezeokwelume,Deloitte &amp; Touche,First Registrars &amp; Investor Services Limited,
113,NGPHARMDEKO7,PHARMDEKO,,216820448.0,HEALTHCARE,Pharmaceuticals,PHARMA-DEKO PLC.,Main Board,,1969-04-18T00:00:00,www.pharmadekoplc.com,Manufacturing and Marketing of Pharmaceutical & Consumer Products,"Plot C1/1, Agbara Industrial Estate, Agbara, Ogun State",012954606,,info@pharmadekoplc.com,UNITY TRUSTEES LIMITED,SIAO (Chartered Accountants),Apel Capital &amp; Trust Limited,
114,NGPORTPAINT6,PORTPAINT,,793415535.0,INDUSTRIAL GOODS,Building Materials,PORTLAND PAINTS & PRODUCTS NIGERIA PLC,Main Board,2009-07-09T00:00:00,1985-09-03T00:00:00,http://www.portlandpaintsng.com/,"Manufacturing Decorative, Industrial and machine Paints Manufacturing Road Repair Materials Merchandising Bathrooms Construction and Renovation Services","Sandtex House, 105A, Adeniyi Jones Avenue, Ikeja. Lagos State",08177290233,,customerservice@portlandpaintsng.com,Ms. Ayomipo Wey,"Ernst &amp; Young, PricewaterhouseCoopers",Africa Prudential Plc,
115,NGPORTPAINT6,PORTPAINT,,793415535.0,INDUSTRIAL GOODS,Building Materials,PORTLAND PAINTS & PRODUCTS NIGERIA PLC,Main Board,2009-07-09T00:00:00,1985-09-03T00:00:00,www.portlandpaintsng.com,"Manufacturing Decorative, Industrial and machine Paints Manufacturing Road Repair Materials Merchandising Bathrooms Construction and Renovation Services","Elephant House, Alausa",7740413,3451927,jedebiri@portlandpaintsng.com,Ms. Ayomipo Wey,"Ernst &amp; Young, PricewaterhouseCoopers",Africa Prudential Plc,
116,NGPREMPAINT2,PREMPAINTS,,123000000.0,INDUSTRIAL GOODS,Building Materials,PREMIER PAINTS PLC.,Main Board,1995-03-07T00:00:00,1982-08-24T00:00:00,www.premierpaintsplc.com,"Production and Marketing of Paint Products such as Wood finishes, decorative, industrial coatings and auto refinishes","KM 2, IFO -  IBOGUN ROAD, IFO, OGUN STATE",08051199620,49197,info@premierpaintsplc.com; mathew.eledan@premierpaintsplc.com,Mrs. Fatima Lawal,Ernst &amp; Young (Chartered Accountants),City Securities (Registrars) Limited,
117,NGPRESCO0005,PRESCO,,1000000000.0,AGRICULTURE,Crop Production,PRESCO PLC,Main Board,2002-10-10T00:00:00,1991-09-24T00:00:00,www.presco-plc.com,Palm Plantation and Processing,"Obaretin Estate, Km 22, Benin Sapele Road, Ikpoba/Okha LGA, Edo State, Nigeria",+2348034134444,+32 (0) 23739232,presco@siat-group.com,"Patrick Idibieadi Kenneth Uwadia, Esq.",AKINTOLA WILLIAMS DELOITTE,First Registrars &amp; Investor Services Limited,"AIGUOBASINMWIN OGIE AKENZUA, BASSEY EDEM OROK  EDEM, JAMES BUKOHWO ERHUERO, NONYE UDO, OSA OSUNDE, PAUL ANTOON L.  CARDOEN"
