internationalSecNumber,typeOfSubmission,description,url,dateModified
NGGTASSURE05,Corporate Actions,AXA Mansard Insurance Plc - Board Approval of 2017 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/20898_AXA_MANSARD_INSURANCE_PLC_CORPORATE_ACTIONS_FEBRUARY_2018.pdf,2018-02-21T18:16:34Z
NGGTASSURE05,Corporate Actions,Axa-Mansard Insurance Plc - Board Meeting for Approval of Audited Accounts,https://doclib.ngxgroup.com/Financial_NewsDocs/20816_AXA_MANSARD_INSURANCE_PLC_CORPORATE_ACTIONS_FEBRUARY_2018.pdf,2018-02-06T09:05:39Z
NGGTASSURE05,Corporate Actions,AXA Mansard - Appointment of CFO,https://doclib.ngxgroup.com/Financial_NewsDocs/20598_AXA_MANSARD_INSURANCE_PLC_CORPORATE_ACTIONS_DECEMBER_2017.pdf,2018-01-02T12:46:15Z
NGGTASSURE05,Corporate Actions,AXA Mansard - Appointment of Executive Director,https://doclib.ngxgroup.com/Financial_NewsDocs/20594_AXA_MANSARD_INSURANCE_PLC_CORPORATE_ACTIONS_DECEMBER_2017.pdf,2017-12-28T14:52:02Z
NGGTASSURE05,Corporate Actions,AXA Mansard Insur. Plc - Proposed Investment,https://doclib.ngxgroup.com/Financial_NewsDocs/20311_AXA_MANSARD_INSURANCE_PLC_CORPORATE_ACTIONS_NOVEMBER_2017.pdf,2017-11-02T12:30:23Z
NGGTASSURE05,Corporate Actions,AXA MANSARD - APPOINTS NEW CEO,https://doclib.ngxgroup.com/Financial_NewsDocs/18150_AXA_MANSARD_-_APPOINTS_NEW_CEO_CORPORATE_ACTIONS_MAY_2017.pdf,2017-05-15T16:07:49Z
NGGTASSURE05,Corporate Actions,AXA MANSARD - PROPOSED INVESTMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/17512_AXA_MANSARD_-_PROPOSED_INVESTMENT_CORPORATE_ACTIONS_APRIL_2017.pdf,2017-04-12T14:11:40Z
NGGTASSURE05,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'AXA MANSARD - DIV. INFORMATION')])",https://doclib.ngxgroup.com/Financial_NewsDocs/17130_AXA_MANSARD_-_DIV._INFORMATION__CORPORATE_ACTIONS_MARCH_2017.pdf,2017-03-31T13:42:17Z
NGGTASSURE05,Corporate Actions,AXAMANSARD INS BOARD RESOLUTION,https://doclib.ngxgroup.com/Financial_NewsDocs/16456_AXAMANSARD_INS_BOARD_RESOLUTION_CORPORATE_ACTIONS_FEBRUARY_2017.pdf,2017-02-16T15:59:18Z
NGGTASSURE05,Corporate Actions,AXA MANSARD - INDEPENDENT DIRECTOR,https://doclib.ngxgroup.com/Financial_NewsDocs/14726_AXA_MANSARD_-_INDEPENDENT_DIRECTOR_CORPORATE_ACTIONS_AUGUST_2016.pdf,2016-08-05T15:49:17Z
NGGTASSURE05,Corporate Actions,AXA MANSARD - BOARD CHANGES,https://doclib.ngxgroup.com/Financial_NewsDocs/14725_AXA_MANSARD_-_BOARD_CHANGES_CORPORATE_ACTIONS_AUGUST_2016.pdf,2016-08-05T15:48:00Z
NGGTASSURE05,Corporate Actions,MANSARD Plc Corporate Action,https://doclib.ngxgroup.com/Financial_NewsDocs/12652_MANSARD_PLC_CORPORATE_ACTION_CORPORATE_ACTIONS_MARCH_2016.pdf,2016-03-17T10:34:56Z
NGGTASSURE05,Corporate Actions,AXA MANSARD - DIRECTOR APPOINTMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/11714_AXA_MANSARD_-_DIRECTOR_APPOINTMENT_CORPORATE_ACTIONS_DECEMBER_2015.pdf,2015-12-21T16:44:32Z
NGGTASSURE05,Corporate Actions,AXA MANSARD CORPORATE ACTION,https://doclib.ngxgroup.com/Financial_NewsDocs/10507_AXA_MANSARD_CORPORATE_ACTION_CORPORATE_ACTIONS_JULY_2015.pdf,2015-07-31T09:39:30Z
NGGTASSURE05,Corporate Actions,MANSARD INSURANCE AGM NOTICE,https://doclib.ngxgroup.com/Financial_NewsDocs/9131_MANSARD_INSURANCE_AGM_NOTICE_CORPORATE_ACTIONS_APRIL_2015.pdf,2015-04-01T16:03:47Z
NGBOCGAS0008,Corporate Actions,BOC GASES NIGERIA PLC- DIVIDEND ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32773_BOC_GASES_NIGERIA_PLC GENERAL_ANNOUNCEMENTS_CORPORATE_.pdf,2021-03-30T16:37:22Z
NGBOCGAS0008,Board Meeting (BM),BOC GASES NIGERIA PLC- OUTCOME OF BOARD MEETING,https://doclib.ngxgroup.com/Financial_NewsDocs/32639_BOC_GASES_NIGERIA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ .pdf,2021-03-22T12:21:51Z
NGBOCGAS0008,Corporate Actions,BOC GASES NIGERIA PLC-NATIONAL CODE OF CORPORATE GOVERNANCE - 2020 RETURNS,https://doclib.ngxgroup.com/Financial_NewsDocs/32640_BOC_GASES_NIGERIA_PLC NATIONAL_CODE_OF_CORPORATE_GOVER.pdf,2021-03-22T11:43:25Z
NGBOCGAS0008,Board Meeting (BM),"OrderedDict([('@xml:space', 'preserve'), ('#text', 'BOC GASES NIGERIA PLC- NOTICE OF BOARD MEETING (BM)')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32505_BOC_GASES_NIGERIA_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ .pdf,2021-03-01T08:22:19Z
NGBOCGAS0008,Corporate Actions,B.O.C. GASES PLC.-PROPOSED SALE OF THE CONTROLLING EQUITY INTEREST IN BOC GASES NIGERIA PLC BY BOC HOLDINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/31907_BOC_GASES_PLC PROPOSED_SALE_OF_THE_CONTROLLING_EQU.pdf,2020-11-16T12:24:48Z
NGBOCGAS0008,Corporate Actions,B.O.C. Gases Plc. - Dividend Information for AFS 2019,https://doclib.ngxgroup.com/Financial_NewsDocs/29494_B.O.C._GASES_PLC._CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-26T10:49:51Z
NGBOCGAS0008,Corporate Actions,B.O.C. Gases Plc - Board Approval of 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29415_B.O.C._GASES_PLC._CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-17T16:07:34Z
NGBOCGAS0008,Corporate Actions,B.O.C. Gases Plc - Notice of Board Meeting and Closed Period for 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29303_B.O.C._GASES_PLC._CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-06T13:16:56Z
NGBOCGAS0008,Corporate Actions,BOC Gases Nigeria Plc - Dividend Announcement,https://doclib.ngxgroup.com/Financial_NewsDocs/25457_B.O.C._GASES_PLC._CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-28T15:18:24Z
NGBOCGAS0008,Corporate Actions,B.O.C. Gases Plc - Board Approval of Audited Accounts,https://doclib.ngxgroup.com/Financial_NewsDocs/25315_B.O.C._GASES_PLC._CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-18T14:42:30Z
NGBOCGAS0008,Corporate Actions,B.O.C. Gases Nigeria Plc - Notice of Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/25075_B.O.C._GASES_PLC._CORPORATE_ACTIONS_FEBRUARY_2019.pdf,2019-02-25T14:12:22Z
NGBOCGAS0008,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'B.O.C. Gases Nigeria Plc - Notice of Merger between Linde AG (Germany) and Praxair Inc. (U.S.A)')])",https://doclib.ngxgroup.com/Financial_NewsDocs/24740_B.O.C._GASE_PLC_-_MERGER_CORPORATE_ACTIONS_FEBRUARY_2019.pdf,2019-02-21T11:16:28Z
NGBOCGAS0008,Corporate Actions,BOC Gases Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/21455_B.O.C._GASES_PLC._CORPORATE_ACTIONS_MARCH_2018.pdf,2018-03-29T14:05:23Z
NGBOCGAS0008,Corporate Actions,B.O.C GASES - BOARD MEETING,https://doclib.ngxgroup.com/Financial_NewsDocs/16731_B.O.C_GASES_-_BOARD_MEETING_CORPORATE_ACTIONS_MARCH_2017.pdf,2017-03-13T14:22:06Z
NGBOCGAS0008,Corporate Actions,B.O.C GASES PLC BOARD MEETING,https://doclib.ngxgroup.com/Financial_NewsDocs/16465_B.O.C_GASES_PLC_BOARD_MEETING_CORPORATE_ACTIONS_FEBRUARY_2017.pdf,2017-02-17T11:11:09Z
NGBOCGAS0008,Corporate Actions,BOC GASES - BOARD APPOINTMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/15908_BOC_GASES_-_BOARD_APPOINTMENT_CORPORATE_ACTIONS_DECEMBER_2016.pdf,2016-12-06T15:49:40Z
NGBOCGAS0008,Corporate Actions,BOC GASES BOARD CHANGES,https://doclib.ngxgroup.com/Financial_NewsDocs/14022_BOC_GASES_BOARD_CHANGES_CORPORATE_ACTIONS_JUNE_2016.pdf,2016-06-20T10:44:17Z
NGBOCGAS0008,Corporate Actions,BOC GASES BOARD MEETING,https://doclib.ngxgroup.com/Financial_NewsDocs/12333_BOC_GASES_BOARD_MEETING_CORPORATE_ACTIONS_FEBRUARY_2016.pdf,2016-02-25T09:58:58Z
NGBOCGAS0008,Corporate Actions,B.O.C. GASES PLC.,https://doclib.ngxgroup.com/Financial_NewsDocs/11975_B.O.C._GASES_PLC._CORPORATE_ACTIONS_JANUARY_2016.pdf,2016-01-26T06:47:45Z
NGBOCGAS0008,Corporate Actions,BOC GASES BOARD CHANGES,https://doclib.ngxgroup.com/Financial_NewsDocs/9705_BOC_GASES_BOARD_CHANGES_CORPORATE_ACTIONS_MAY_2015.pdf,2015-05-06T08:01:41Z
NGBOCGAS0008,Corporate Actions,B.O.C. GASES PLC - CORPORATE ACTION,https://doclib.ngxgroup.com/Financial_NewsDocs/9196_BERGER_PAINTS_-_CORPORATE_ACTION_CORPORATE_ACTIONS_APRIL_2015.pdf,2015-04-07T15:43:52Z
NGBOCGAS0008,Corporate Actions,BOC GASES CORPORATE ACTION,https://doclib.ngxgroup.com/Financial_NewsDocs/9130_BOC_GASES_CORPORATE_ACTION_CORPORATE_ACTIONS_APRIL_2015.pdf,2015-04-01T14:40:12Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-HIGHLIGHTS OF 2021 AUDITED FINANCIAL STATEMENTS - BERGER PAINTS NIGERIA PLC,https://doclib.ngxgroup.com/Financial_NewsDocs/32969_BERGER_PAINTS_NIGERIA_PLC HIGHLIGHTS_OF_2021_AUDITED_F.pdf,2021-04-08T14:46:44Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-HIGHLIGHTS OF 2021 AUDITED FINANCIAL STATEMENTS - BERGER PAINTS NIGERIA PLC,https://doclib.ngxgroup.com/Financial_NewsDocs/32969_BERGER_PAINTS_NIGERIA_PLC HIGHLIGHTS_OF_2021_AUDITED_F.pdf,2021-04-08T14:45:43Z
NGBERGER0000,Board Meeting (BM),BERGER PAINTS NIGERIA PLC- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/32931_BERGER_PAINTS_NIGERIA_PLC _NOTICES_OF_BOARD_MEETING_(B.pdf,2021-04-06T09:26:26Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-CORPORATE ACTIONS ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32871_BERGER_PAINTS_NIGERIA_PLC CORPORATE_ACTIONS_ANNOUNCEME.pdf,2021-03-31T19:41:35Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-NOTIFICATION OF BOARD MEETING OUTCOMES,https://doclib.ngxgroup.com/Financial_NewsDocs/32715_BERGER_PAINTS_NIGERIA_PLC NOTIFICATION_OF_BOARD_MEETIN.pdf,2021-03-29T09:05:23Z
NGBERGER0000,Board Meeting (BM),"OrderedDict([('@xml:space', 'preserve'), ('#text', 'BERGER PAINTS NIGERIA PLC- NOTICE OF BOARD MEETING (BM)')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32548_BERGER_PAINTS_NIGERIA_PLC _NOTICES_OF_BOARD_MEETING_(B.pdf,2021-03-08T15:02:01Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-NOTIFICATION OF BOARD CHANGES,https://doclib.ngxgroup.com/Financial_NewsDocs/32427_BERGER_PAINTS_NIGERIA_PLC NOTIFICATION_OF_BOARD_CHANGE.pdf,2021-02-18T15:14:05Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-APPOINTMENT OF INDEPENDENT NON-EXECUTIVE DIRECTORS,https://doclib.ngxgroup.com/Financial_NewsDocs/32353_BERGER_PAINTS_NIGERIA_PLC APPOINTMENT_OF_INDEPENDENT_N.pdf,2021-02-01T15:08:06Z
NGBERGER0000,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'BERGER PAINTS NIGERIA PLC-NCCG 2018 COMPLIANCE REPORT')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32352_BERGER_PAINTS_NIGERIA_PLC NCCG_2018_COMPLIANCE_REPORT_.pdf,2021-02-01T14:03:25Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-CALENDAR OF BOARD MEETINGS - BERGER PAINTS NIGERIA PLC,https://doclib.ngxgroup.com/Financial_NewsDocs/32177_BERGER_PAINTS_NIGERIA_PLC CALENDAR_OF_BOARD_MEETINGS_ .pdf,2021-01-18T11:14:46Z
NGBERGER0000,Board Meeting (BM),BERGER PAINTS NIGERIA PLC- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/32156_BERGER_PAINTS_NIGERIA_PLC _NOTICES_OF_BOARD_MEETING_(B.pdf,2021-01-13T10:04:56Z
NGBERGER0000,Corporate Actions,BERGER PAINTS NIGERIA PLC-NOTICE OF BOARD CHANGES,https://doclib.ngxgroup.com/Financial_NewsDocs/32097_BERGER_PAINTS_NIGERIA_PLC NOTICE_OF_BOARD_CHANGES_CORP.pdf,2020-12-30T09:10:40Z
NGBERGER0000,Board Meeting (BM),BERGER PAINTS PLC- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/31563_BERGER_PAINTS_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _NOT.pdf,2020-10-06T17:27:17Z
NGBERGER0000,Corporate Actions,BERGER PAINTS PLC - APPOINTMENT OF CHIEF FINANCIAL OFFICER,https://doclib.ngxgroup.com/Financial_NewsDocs/31547_BERGER_PAINTS_PLC APPOINTMENT_OF_CHIEF_FINANCIAL_OFFIC.pdf,2020-10-05T14:32:22Z
NGBERGER0000,Board Meeting (BM),BERGER PAINTS PLC- NOTICE OF BOARD MEETING (BM),https://doclib.ngxgroup.com/Financial_NewsDocs/30907_BERGER_PAINTS_PLC-_NOTICES_OF_BOARD_MEETING_(BM)_-_NOT.pdf,2020-07-14T18:56:02Z
NGBERGER0000,Corporate Actions,Berger Paints  Nigeria Plc - Resolutions Passed at the Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30664_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-24T16:15:27Z
NGBERGER0000,Corporate Actions,Berger Paints Plc -  Live Streaming of the 60th Annual General  Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30645_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-23T07:23:09Z
NGBERGER0000,Corporate Actions,Berger Paints Nigeria Plc - Proxy Form for Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30368_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-03T17:12:22Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30225_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MAY_2020.pdf,2020-05-29T12:30:09Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Dividend Information Notification,https://doclib.ngxgroup.com/Financial_NewsDocs/30202_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MAY_2020.pdf,2020-05-29T11:11:57Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Covid-19 Business Continuity Plans,https://doclib.ngxgroup.com/Financial_NewsDocs/29815_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_APRIL_2020.pdf,2020-04-29T09:23:46Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Board Resolutions,https://doclib.ngxgroup.com/Financial_NewsDocs/29435_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-20T15:34:25Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notification of Share Dealing by an Insider,https://doclib.ngxgroup.com/Financial_NewsDocs/29272_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-03T14:25:41Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/29258_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-02T14:55:43Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notification of Share Dealing by Insiders,https://doclib.ngxgroup.com/Financial_NewsDocs/29128_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_FEBRUARY_2020.pdf,2020-02-20T09:58:44Z
NGBERGER0000,Corporate Actions,Berger Paints Nigeria Plc - Notification of Share Dealing by Insiders,https://doclib.ngxgroup.com/Financial_NewsDocs/29064_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_FEBRUARY_2020.pdf,2020-02-11T15:39:45Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notification of Share Dealing by Insiders,https://doclib.ngxgroup.com/Financial_NewsDocs/29027_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_FEBRUARY_2020.pdf,2020-02-06T14:49:47Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Board Meeting and Closed Period for 2019 Q3 Accounts,https://doclib.ngxgroup.com/Financial_NewsDocs/27707_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-08T16:07:48Z
NGBERGER0000,Corporate Actions,Berger Paints Nigeria Plc - Appointment of Managing Director and Chief Operating Officer,https://doclib.ngxgroup.com/Financial_NewsDocs/26137_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MAY_2019.pdf,2019-05-02T16:13:34Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/25883_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_APRIL_2019.pdf,2019-04-29T13:57:54Z
NGBERGER0000,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'Berger Paints Plc - Notice of Closed Period for 2019 Q1 Accounts')])",https://doclib.ngxgroup.com/Financial_NewsDocs/25677_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_APRIL_2019.pdf,2019-04-02T14:31:15Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/25575_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-29T18:31:38Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/25159_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-04T17:16:58Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - 2019 Board Meetings Calender,https://doclib.ngxgroup.com/Financial_NewsDocs/24845_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_JANUARY_2019.pdf,2019-01-30T07:53:15Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Appointment of Acting Managing Director,https://doclib.ngxgroup.com/Financial_NewsDocs/24652_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_DECEMBER_2018.pdf,2018-12-24T07:07:40Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Resignation of a Director,https://doclib.ngxgroup.com/Financial_NewsDocs/24411_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_NOVEMBER_2018.pdf,2018-11-08T11:03:51Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/23805_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_OCTOBER_2018.pdf,2018-10-03T13:22:25Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Appointment of Company Secretary,https://doclib.ngxgroup.com/Financial_NewsDocs/23720_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_SEPTEMBER_2018.pdf,2018-09-21T07:21:58Z
NGBERGER0000,Corporate Actions,Berger Paints - Resignation of Company Secretary,https://doclib.ngxgroup.com/Financial_NewsDocs/22693_BERGER_PAINTS_-_RESIGNATION__CORPORATE_ACTIONS_JULY_2018.pdf,2018-07-09T12:51:46Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/22601_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_JUNE_2018.pdf,2018-06-22T13:10:09Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Board Changes,https://doclib.ngxgroup.com/Financial_NewsDocs/22514_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_JUNE_2018.pdf,2018-06-08T15:10:48Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Notice of AGM,https://doclib.ngxgroup.com/Financial_NewsDocs/22263_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_MAY_2018.pdf,2018-05-09T15:53:16Z
NGBERGER0000,Corporate Actions,Berger Paints Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/21600_BERGER_PAINTS_PLC_CORPORATE_ACTIONS_APRIL_2018.pdf,2018-04-03T17:33:05Z
NGBERGER0000,Corporate Actions,BERGER PAINTS - CLOSED PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/18625_BERGER_PAINTS_-_CLOSED_PERIOD_CORPORATE_ACTIONS_JULY_2017.pdf,2017-07-05T11:01:14Z
NGBERGER0000,Corporate Actions,BERGER PAINTS - PRESS RELEASE,https://doclib.ngxgroup.com/Financial_NewsDocs/18599_BERGER_PAINTS_-_PRESS_RELEASE_CORPORATE_ACTIONS_JULY_2017.pdf,2017-07-03T17:14:40Z
NGBERGER0000,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'BERGER PAINTS - INDUSTRIAL ACTION')])",https://doclib.ngxgroup.com/Financial_NewsDocs/18461_BERGER_PAINTS_-_INDUSTRIAL_ACTION__CORPORATE_ACTIONS_JUNE_2017.pdf,2017-06-16T08:46:46Z
NGBERGER0000,Corporate Actions,BERGER PAINTS CLOSURE OF REGISTER,https://doclib.ngxgroup.com/Financial_NewsDocs/17751_BERGER_PAINTS_CLOSURE_OF_REGISTER_CORPORATE_ACTIONS_APRIL_2017.pdf,2017-04-27T09:32:07Z
NGBERGER0000,Corporate Actions,BERGER PAINTS - BOARD RESOLUTION,https://doclib.ngxgroup.com/Financial_NewsDocs/16882_BERGER_PAINTS_-_BOARD_RESOLUTION_CORPORATE_ACTIONS_MARCH_2017.pdf,2017-03-24T12:57:42Z
NGBERGER0000,Corporate Actions,BERGER PAINTS - CORP ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/12167_BERGER_PAINTS_-_CORP_ANNOUNCEMENT_CORPORATE_ACTIONS_FEBRUARY_2016.pdf,2016-02-02T08:49:11Z
NGBERGER0000,Corporate Actions,BERGER PAINTS CORPORATE ACTION,https://doclib.ngxgroup.com/Financial_NewsDocs/9071_BERGER_PAINTS_CORPORATE_ACTION_CORPORATE_ACTIONS_MARCH_2015.pdf,2015-03-31T14:05:27Z
NGBETAGLAS04,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', 'BETA GLASS PLC-TEMPLATE FOR REPORTING COMPLIANCE WITH NCCG 2018')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32763_BETA_GLASS_PLC TEMPLATE_FOR_REPORTING_COMPLIANCE_WITH_.pdf,2021-03-31T09:33:32Z
NGBETAGLAS04,Corporate Actions,BETA GLASS PLC-DIVIDEND ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32761_BETA_GLASS_PLC DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS.pdf,2021-03-30T14:20:20Z
NGBETAGLAS04,Board Meeting (BM),BETA GLASS PLC- BOARD MEETING RESOLUTION,https://doclib.ngxgroup.com/Financial_NewsDocs/32652_BETA_GLASS_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _BOARD_.pdf,2021-03-23T14:17:34Z
NGBETAGLAS04,Board Meeting (BM),"OrderedDict([('@xml:space', 'preserve'), ('#text', 'BETA GLASS PLC- NOTICE OF BOARD MEETING (BM)')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32597_BETA_GLASS_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _NOTICE.pdf,2021-03-15T08:03:22Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Notice on Change of Venue of the Annual General Meeting,https://doclib.ngxgroup.com/Financial_NewsDocs/30684_BETA_GLASS_PLC_CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-26T08:55:24Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Notice of Board Meeting and Closed Period,https://doclib.ngxgroup.com/Financial_NewsDocs/30683_BETA_GLASS_PLC_CORPORATE_ACTIONS_JUNE_2020.pdf,2020-06-26T08:54:16Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Dividend Information for 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29530_BETA_GLASS_PLC_CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-31T07:48:00Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Board Meeting Resolutions,https://doclib.ngxgroup.com/Financial_NewsDocs/29487_BETA_GLASS_PLC_CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-26T11:01:05Z
NGBETAGLAS04,Corporate Actions,BETA Glass Plc - Notice of Board Meeting and Closed Period for 2019 AFS,https://doclib.ngxgroup.com/Financial_NewsDocs/29372_BETA_GLASS_PLC_CORPORATE_ACTIONS_MARCH_2020.pdf,2020-03-12T13:08:48Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Courtesy Visit to the Minister of Industries,https://doclib.ngxgroup.com/Financial_NewsDocs/28435_BETA_GLASS_PLC_CORPORATE_ACTIONS_DECEMBER_2019.pdf,2019-12-17T07:54:02Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - On track to Complete $30Million Capacity Expansion Investment in Nigeria in June 2020,https://doclib.ngxgroup.com/Financial_NewsDocs/27695_BETA_GLASS_PLC_CORPORATE_ACTIONS_OCTOBER_2019.pdf,2019-10-04T07:03:49Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Annual General Meeting Resolutions,https://doclib.ngxgroup.com/Financial_NewsDocs/26626_BETA_GLASS_PLC_CORPORATE_ACTIONS_JULY_2019.pdf,2019-07-05T16:32:06Z
NGBETAGLAS04,Corporate Actions,Beta Glass Plc - Dividend Information,https://doclib.ngxgroup.com/Financial_NewsDocs/25479_BETA_GLASS_PLC_CORPORATE_ACTIONS_MARCH_2019.pdf,2019-03-29T10:39:26Z
